"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama",NA,"13373; eth_Unknown:2553; eth_Not Hispanic/Latino:9692; eth_Hispanic/Latino:1128",NA,NA,NA,"ASIAN:76; BLACK:5430; OTHER:542; UNKNOWN:1827; WHITE:5498","5-24:1456; 65+:3234; 0-4:121; 50-64:3250; 25-49:5303; UNKNOWN:9","FEMALE:7732; MALE:5529; UNKNOWN/OTHER:112","531; eth_Unknown:67; eth_Not Hispanic/Latino:452; eth_Hispanic/Latino:12","ASIAN:3; BLACK:229; OTHER:7; UNKNOWN:21; WHITE:271","65+:432; 50-64:84; 25-49:15","FEMALE:239; MALE:290","x (death, in pdf)","1549",NA,NA,NA,"arcgis, pdf","CLN_ICU:528; CLN_VENT:312; HCW:1815; LTCF_Employee:831; LTCF_Resident:1292; LTCF_Visitor:48","05/21/2020"
"Alaska","39545","402; eth_Hispanic:38; eth_Non-Hispanic:344; eth_Unknown Ethnicity:20",1375,0,0,"AI/AN:31; ASIAN:46; BLACK:9; MULTI:14; NH/PI:14; OTHER:12; UNKNOWN:15; WHITE:261","0-10:9; 10-19:26; 20-29:69; 30-39:80; 40-49:57; 50-59:71; 60-69:55; 70-79:27; 80+:8; UNKNOWN:0","FEMALE:197; MALE:205; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5","0-10:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"44; eth_Hispanic:4; eth_Non-Hispanic:38; eth_Unknown Ethnicity:2","AI/AN:6; ASIAN:7; BLACK:0; MULTI:0; UNKNOWN:0; WHITE:23; NA:8","0-10:0; 10-19:1; 20-29:3; 30-39:5; 40-49:2; 50-59:8; 60-69:9; 70-79:13; 80+:3; UNKNOWN:0","FEMALE:18; MALE:26; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:116; expr_Secondary_Cases:173; expr_Travel_Cases:103; expr_UI_Cases:10; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:879; Inpatient_Avail:961; ICU_Beds:195; ICU_Occup:94; ICU_Avail:101; Pos_COVID_PUI_Pending:16; Vent_Cap:345; Vent_Avail:313; Vent_Occup:32","05/20/2020"
"Arizona","237417","15315",NA,NA,NA,"AI/AN:1819; ASIAN:169; BLACK:493; MULTI:0; OTHER:343; UNKNOWN:6298; WHITE:3276","0-19:1281; 20-44:5999; 45-54:2550; 55-64:2271; 65+:3205; UNKNOWN:9","FEMALE:8082; MALE:7204; UNKNOWN/OTHER:0","763","AI/AN:126; ASIAN:10; BLACK:23; MULTI:0; OTHER:11; UNKNOWN:159; WHITE:313","0-19:2; 20-44:28; 45-54:38; 55-64:93; 65+:602; UNKNOWN:0","FEMALE:345; MALE:417; UNKNOWN/OTHER:0",NA,NA,"AI/AN:190; ASIAN:37; BLACK:95; MULTI:0; UNKNOWN:252; WHITE:724; NA:44","0-19:17; 20-44:346; 45-54:288; 55-64:348; 65+:831; UNKNOWN:0","FEMALE:862; MALE:968; UNKNOWN/OTHER:0","manual",NA,"05/22/2020"
"Arkansas","113133","5458",NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,NA,"584",NA,NA,NA,"pdf","curr_hosp:6; recovered:5; active_cases:3; curr_vent:2; ever_vent:1; nursing_home_res:4","05/21/2020"
"California",NA,"86197",NA,NA,NA,"AI/AN:120; ASIAN:6210; BLACK:3465; HISPANIC:32662; MULTI:527; NH/PI:553; OTHER:3070; PENDING:26153; WHITE:13437","0-17:3855; 18-49:22234; 50-64:21515; 65+:20967",NA,"3451","AI/AN:14; ASIAN:508; BLACK:344; HISPANIC:1271; MULTI:23; NH/PI:27; OTHER:36; PENDING:70; WHITE:1158","0-17:0; 18-49:35; 50-64:163; 65+:522",NA,NA,NA,NA,NA,NA,"pdf",NA,"05/20/2020"
"Colorado",NA,"20903",NA,NA,NA,"HISPANIC:0.3614; NH AI/AN:0.0046; NH ASIAN:0.0274; NH BLACK:0.0611; NH MULTI:0.0071; NH NH/PI:0.0041; NH WHITE:0.3565; OTHER:0.0091; UNKNOWN:0.1687","0-9:478; 10-19:961; 20-29:3599; 30-39:3984; 40-49:4007; 50-59:3774; 60-69:2736; 70-79:1738; 80+:1860; UNKNOWN:54","FEMALE:0.5074; MALE:0.4835; UNKNOWN/OTHER:0.0091","1036","HISPANIC:0.1908; NH AI/AN:0.0061; NH ASIAN:0.0397; NH BLACK:0.0702; NH MULTI:0.0076; NH NH/PI:0.0031; NH WHITE:0.6397; OTHER:0.0053; UNKNOWN:0.0374","10-19:2; 20-29:7; 30-39:7; 40-49:33; 50-59:71; 60-69:170; 70-79:306; 80+:714","FEMALE:0.4382; MALE:0.5588; UNKNOWN/OTHER:0.0031",NA,NA,NA,"0-9:35; 10-19:33; 20-29:180; 30-39:333; 40-49:494; 50-59:711; 60-69:717; 70-79:523; 80+:347",NA,"tableau",NA,"05/21/2020"
"Connecticut","196447","39208",5729,191,53,"HISPANIC:6945; NH AI/AN:38; NH ASIAN/PI:571; NH BLACK:4959; NH MULTI:76; NH OTHER:199; NH WHITE:12606; UNKNOWN:13814","0-9:409; 10-19:942; 20-29:4368; 30-39:5449; 40-49:5571; 50-59:6857; 60-69:5787; 70-79:3842; 80+:5863","FEMALE:21457; MALE:17550","3582","HISPANIC:312; NH AI/AN:1; NH ASIAN/PI:35; NH BLACK:525; NH MULTI:15; NH OTHER:14; NH WHITE:2600; UNKNOWN:80","0-9:1; 10-19:1; 20-29:4; 30-39:20; 40-49:50; 50-59:150; 60-69:443; 70-79:774; 80+:2138","FEMALE:1816; MALE:1759",NA,NA,NA,NA,NA,NA,"No race dataset https://data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um; curr_hosp:816","05/20/2020"
"Delaware","47542; race_Non-Hispanic White:2; race_Non-Hispanic Black:1; race_Hispanic/Latino:4; race_Another/Multiple:3; race_Asian/Pacific Islander:5; race_Unknown:6","8386",NA,NA,NA,"ASIAN/PI:121; HISPANIC:2310; MULTI:439; NH BLACK:2252; NH WHITE:2386; UNKNOWN:878","0-4:97; 5-17:389; 18-34:2192; 35-49:2168; 50-64:1957; 65+:1582; UNKNOWN:1","FEMALE:4598; MALE:3757; UNKNOWN/OTHER:31","317","ASIAN/PI:1; HISPANIC:22; MULTI:3; NH BLACK:78; NH WHITE:193; UNKNOWN:20","0-4:0; 5-17:0; 18-34:8; 35-49:8; 50-64:49; 65+:252","FEMALE:163; MALE:154",NA,"220",NA,NA,NA,NA,"Recovered:4","05/20/2020"
"District of Columbia","41756","7788",NA,NA,NA,"AI/AN:21; ASIAN:98; BLACK:3570; MULTI:0; OTHER:1810; UNKNOWN:1111; WHITE:1178",NA,NA,"412","AI/AN:0; ASIAN:7; BLACK:316; MULTI:0; OTHER:0; UNKNOWN:2; WHITE:0",NA,NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","05/22/2020"
"Florida","815584","47381",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:9824; MULTI:0; OTHER:4431; UNKNOWN:6896; WHITE:26230","0-4:336; 5-14:713; 15-24:3783; 25-34:7134; 35-44:7130; 45-54:8243; 55-64:7813; 65-74:5654; 75-84:3882; 85+:2683; UNKNOWN:10","FEMALE:24117; MALE:23264; UNKNOWN/OTHER:0","2144","AI/AN:0; ASIAN:0; BLACK:464; MULTI:0; OTHER:133; UNKNOWN:81; WHITE:1466","0-4:0; 5-14:0; 15-24:0; 25-34:14; 35-44:35; 45-54:81; 55-64:197; 65-74:462; 75-84:640; 85+:715; UNKNOWN:0",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:2359; MULTI:0; UNKNOWN:292; WHITE:5415; NA:880","0-4:23; 5-14:19; 15-24:136; 25-34:444; 35-44:733; 45-54:1138; 55-64:1574; 65-74:1870; 75-84:1742; 85+:1266; UNKNOWN:1",NA,"pdf","Age data only available in images on site","05/22/2020"
