"X","state_name","Link","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","positivity.rate","county.details","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
1,"Massachusetts","https://www.mass.gov/info-details/archive-of-covid-19-cases-in-massachusetts#april-2020-","3238434","204060",NA,NA,NA,"","0-19 years:5015; 20-29 years:6186; 30-39 years:4841; 40-49 years:4036; 50-59 years:3923; 60-69 years:2579; 70-79 years:1178; 80+ years:880","","x (Rate by age)",NA,"10319","","","","","25056","","","","pdf","Cases.in.Residents.Healthcare.Workers.of.LTCFs:26991; facilities:400; Deaths.Reported.in.LTCFs:6697; Total number of confirmed COVID patients in hospital today:954; Net new number of confirmed COVID patients in hospital today:32; 7 day average of confirmed COVID hospitalizations:909.428571428571; Confirmed ICU:205; Net New number ICU:1; Confirmed intubated:99; Net New number intubated:8","11/24/2020"
2,"California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx","22741363","1125699",NA,NA,NA,"Latino:481902; White:151887; Asian:45823; African American:33578; Multi-Race:10124; American Indian or Alaska Native:2403; Native Hawaiian and other Pacific Islander:4348; Other:79545","<5:25905; 5-17:98807; 18-34:396160; 35-49:275334; 50-59:155040; 60-64:56145; 65-69:38464; 70-74:26700; 75-79:18294; 80+:33885; missing:965","Female:570248; Male:546676; Unknown:8775","",NA,"18817","Latino:9045; White:5633; Asian:2178; African American:1371; Multi-Race:156; American Indian or Alaska Native:64; Native Hawaiian and other Pacific Islander:89; Other:92","<5:0; 5-17:2; 18-34:297; 35-49:1061; 50-59:1993; 60-64:1605; 65-69:1930; 70-74:2085; 75-79:2107; 80+:7736; missing:1","Female:8013; Male:10772; Unknown:32","","","","","","pdf","","11/23/2020"
3,"Pennsylvania","https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx","3044438","321070; eth_Hispanic:23554; eth_Not Hispanic:81824; eth_Not Reported:215692",NA,NA,NA,"Asian:6373; Black:37006; White:140618; Other:3152; Unknown:133921","Not Reported:165; 0-9:8823; 10-19:29588; 20-29:60431; 30-39:47722; 40-49:42644; 50-59:47519; 60-69:37084; 70-79:22622; 80-89:15811; 90-99:8236; 100+:425","Not Reported:1815; Female:173069; Male:146173; Neither:13","",NA,"9951; eth_Hispanic:336; eth_Not Hispanic:5550","Asian:142; White:4245; African American:1216; Multiple/Other:283","0-4:0; 5-9:0; 10-14:0; 15-19:0; 20-24:0; 25-29:6; 30-34:10; 35-39:7; 40-44:29; 45-49:64; 50-54:109; 55-59:185; 60-64:321; 65-69:471; 70-74:583; 75-79:665; 80-84:828; 85-89:1045; 90-94:974; 95-99:487; 100-104:90; 105-109:8","Female:3047; Male:2839","Neuro Dementia:1280; Cardio Hypertension:1236; Metabolic Diabetes:746; Respiratory COPD:464; Cardio Coronary Artery Disease:439; Kidney Chronic:404; Cardio Congestive Heart Failure:398; Cancer:245; Neuro Parkinson’s:151; Kidney End-Stage Renal:129; Metabolic Obesity:119; Respiratory Sleep Apnea:49; Respiratory Asthma:47; Liver Cirrhosis:27; Immuno Organ Transplant:12; Immuno HIV:11; Liver Chronic:6","","","","","webpage","pod_Hospice:1; pod_Hospital:5; pod_Long-Term Living:3; pod_Residence:2; pod_Other:4","11/24/2020"
4,"Illinois","http://www.dph.illinois.gov/covid19/covid19-statistics","9990304; age_Unknown:564943; age_<20:1238203; age_20-29:1969133; age_30-39:1410521; age_40-49:1208217; age_50-59:1280718; age_60-69:1075722; age_70-79:648570; age_80+:594277; gender_Male:3959522; gender_Female:5202222; gender_Unknown/Left Blank:828560; race_White:3218266; race_Black:754312; race_Left Blank:4588010; race_Other:309857; race_Asian:376687; race_Hispanic:724824; race_NH/PI*:10513; race_AI/AN**:7835","674089","97323","9469","125","White:227089; Black:65836; Left Blank:208896; Other:23122; Asian:13264; Hispanic:134390; NH/PI*:704; AI/AN**:788","Unknown:210; <20:95252; 20-29:129361; 30-39:108624; 40-49:104724; 50-59:100170; 60-69:69968; 70-79:37214; 80+:28566","Male:315604; Female:347910; Unknown/Left Blank:10575","",NA,"11677","White:6282; Black:2527; Left Blank:271; Other:65; Asian:436; Hispanic:2070; NH/PI*:10; AI/AN**:16","Unknown:0; <20:8; 20-29:40; 30-39:157; 40-49:359; 50-59:861; 60-69:1911; 70-79:2829; 80+:5512","Male:6285; Female:5392; Unknown/Left Blank:0","","","","","","webpage","","11/24/2020"
5,"Michigan","https://www.michigan.gov/coronavirus/097537-406-98163_98173---00.html","6401032","347746; eth1_Hispanic/Latino:5.92%; eth1_Non-Hispanic Latino:68.13%; eth1_Unknown:25.96%; eth2_Arab:2.89%; eth2_Non-Arab:49.00%; eth2_Unknown:48.12%",NA,NA,NA,"Unknown:62055; American Indian/Alaska Native:1568; Asian/Pacific Islander:5005; Black/African American:39361; Multiple Races:14754; Other:18840; White:178856","0-9:7803; 10-19:29797; 20-29:61545; 30-39:46842; 40-49:46567; 50-59:50034; 60-69:38128; 70-79:22976; 80+:16486; Unknown:261","Unknown:1310; Female:164403; Male:154726","",NA,"9094; eth1_Hispanic/Latino:2.65%; eth1_Non-Hispanic Latino:84.76%; eth1_Unknown:12.59%; eth2_Arab:1.93%; eth2_Non-Arab:50.83%; eth2_Unknown:47.24%","Unknown:298; American Indian/Alaska Native:20; Asian/Pacific Islander:94; Black/African American:2695; Multiple Races:122; Other:196; White:5202","0-9:0; 10-19:0; 20-29:33; 30-39:68; 40-49:234; 50-59:650; 60-69:1436; 70-79:2348; 80+:3858; Unknown:0","Unknown:0; Female:4032; Male:4595","","4052","","","","webpage","","11/24/2020"
7,"Connecticut","https://portal.ct.gov/coronavirus","3044270","107280",NA,NA,NA,"Hispanic:19938; NH American Indian or Alaskan Native:149; NH Asian or Pacific Islander:1300; NH Black:10026; NH Multiracial:1307; NH Other:2588; NH White:34432; Unknown:37540","0-9:3972; 10-19:9321; 20-29:18502; 30-39:16646; 40-49:14834; 50-59:16385; 60-69:11714; 70-79:6971; 80 and older:8891","Female:56646; Male:49705","",NA,"4881","Hispanic:448; NH American Indian or Alaskan Native:2; NH Asian or Pacific Islander:53; NH Black:708; NH Multiracial:39; NH Other:24; NH White:3560; Unknown:47","0-9:1; 10-19:1; 20-29:5; 30-39:23; 40-49:67; 50-59:203; 60-69:611; 70-79:1065; 80 and older:2905","Female:2550; Male:2330","","","","","","","curr_hosp:891","11/23/2020"
8,"Texas","https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83","11371260","1115371",NA,NA,NA,"Unknown:7432; Asian:875; Black:10097; Hispanic:24266; Other:298; White:18716","<1 year:224; 1-9 years:1113; 10-19 years:2909; 20-29 years:12267; 30-39 years:13148; 40-49 years:11645; 50-59 years:10105; 60-64 years:3713; 65-69 years:2514; 70-74 years:1521; 75-79 years:969; 80+ years:1541; Pending DOB:15","Female:21633; Male:39167; Unknown:884","",NA,"20750","Unknown:12; Asian:375; Black:2169; Hispanic:10969; Other:105; White:6666","<1 year:4; 1-9 years:8; 10-19 years:22; 20-29 years:121; 30-39 years:369; 40-49 years:1100; 50-59 years:2404; 60-64 years:1947; 65-69 years:2365; 70-74 years:2650; 75-79 years:2533; 80+ years:6773; Pending DOB:0","Female:8555; Male:11740; Unknown:1","","","","","","arcgis + downloadable cs","recovered:927331","11/24/2020"
9,"Georgia","https://dph.georgia.gov/covid-19-daily-status-report","4173943","408644; eth_Hispanic/ Latino:50824; eth_Non-Hispanic/ Latino:241811; eth_Unknown:116009",NA,NA,NA,"Unknown:82299; African-American/ Black:113914; American Indian/ Alaska Native:311; Asian:7798; Native Hawaiian/ Pacific Islander:478; Other:27855; White:175989","<1 years:1422; 01-04 years:4723; 05-09 years:7089; 10-17 years:25724; 18-29 years:100776; 30-39 years:66595; 40-49 years:63512; 50-59 years:59083; 60-69 years:39860; 70-79 years:23177; 80 & Older years:14497; Unknown years:2186","Female:216155; Male:186508; Unknown:5981","",NA,"8648; eth_Hispanic/ Latino:531; eth_Non-Hispanic/ Latino:8073; eth_Unknown:44","Unknown:32; African-American/ Black:3400; American Indian/ Alaska Native:10; Asian:154; Native Hawaiian/ Pacific Islander:7; Other:201; White:4844","<1 years:0; 01-04 years:1; 05-09 years:1; 10-17 years:5; 18-29 years:63; 30-39 years:140; 40-49 years:335; 50-59 years:805; 60-69 years:1722; 70-79 years:2389; 80 & Older years:3187; Unknown years:0","Female:4151; Male:4494; Unknown:3","","34268; eth_Hispanic/ Latino:4526; eth_Non-Hispanic/ Latino:26765; eth_Unknown:2977","Unknown:1695; African-American/ Black:14434; American Indian/ Alaska Native:19; Asian:613; Native Hawaiian/ Pacific Islander:42; Other:2722; White:14743","<1 years:84; 01-04 years:98; 05-09 years:68; 10-17 years:314; 18-29 years:2287; 30-39 years:3023; 40-49 years:4325; 50-59 years:6124; 60-69 years:6990; 70-79 years:6116; 80 & Older years:4783; Unknown years:56","Female:17493; Male:16624; Unknown:151","webpage","","11/24/2020"
10,"Maryland","https://coronavirus.maryland.gov","4200836","185464",NA,NA,NA,"Data not available:26726; African-American (NH):55775; Asian (NH):3625; White (NH):54600; Hispanic:36218; Other (NH):8520","0-9:7609; 10-19:16515; 20-29:35360; 30-39:33239; 40-49:29224; 50-59:27328; 60-69:18110; 70-79:10419; 80+:7660","Female:97557; Male:87907","",NA,"4481","Data not available:33; African-American (NH):1767; Asian (NH):163; White (NH):1979; Hispanic:489; Other (NH):50","0-9:0; 10-19:3; 20-29:27; 30-39:59; 40-49:143; 50-59:368; 60-69:710; 70-79:1111; 80+:2058; Data not available:2","Female:2192; Male:2289","","19914","","","","arcgis + webpage","Currently hospitalized:1341; Acute care:1027; Intensive care:314; Released from isolation:8517","11/24/2020"
11,"Ohio","https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/key-metrics/hospitalizations","5783688","371908; eth_Non-hispanic:236596; eth_Hispanic:14789; eth_Unknown:120523",NA,"49","0","Unknown:69072; White:216675; Black:47578; Other:21845; Multi:9406; Asian:6522; NH/PI:357; AI/AN:453","0-19:45525; 20-29:72588; 30-39:55229; 40-49:52181; 50-59:56240; 60-69:43165; 70-79:26254; 80+:20418; Unknown:308","Unknown:2973; Female:196953; Male:171982","",NA,"6118; eth_Non-hispanic:5644; eth_Hispanic:122; eth_Unknown:349; eth_Refuse:3","Unknown:198; White:4765; Black:954; Other:49; Multi:93; Asian:52; NH/PI:3; AI/AN:4","0-19:4; 20-29:13; 30-39:42; 40-49:98; 50-59:340; 60-69:834; 70-79:1560; 80+:3226; Unknown:1","Unknown:4; Female:2958; Male:3156","","25069; eth_Non-hispanic:20906; eth_Hispanic:1126; eth_Unknown:3000; eth_Refuse:37","Unknown:1200; White:16213; Black:5499; Other:817; Multi:833; Asian:413; NH/PI:42; AI/AN:39","0-19:550; 20-29:1088; 30-39:1456; 40-49:2155; 50-59:3904; 60-69:5313; 70-79:5645; 80+:4950; Unknown:8","Unknown:59; Female:12155; Male:12855","tableau","today_hosp:7","11/24/2020"
