"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama",NA,"11101; eth_Unknown:2079; eth_Not Hispanic/Latino:8124; eth_Hispanic/Latino:898",NA,NA,NA,"ASIAN:68; BLACK:4319; OTHER:427; UNKNOWN:1509; WHITE:4778","5-24:1127; 65+:2778; 0-4:89; 50-64:2760; 25-49:4338; UNKNOWN:9","FEMALE:6434; MALE:4586; UNKNOWN/OTHER:81","473; eth_Unknown:59; eth_Not Hispanic/Latino:404; eth_Hispanic/Latino:10","ASIAN:3; BLACK:209; OTHER:6; UNKNOWN:17; WHITE:238","65+:384; 50-64:77; 25-49:12","FEMALE:212; MALE:260","x (death, in pdf)","1364",NA,NA,NA,"arcgis, pdf","CLN_ICU:496; CLN_VENT:293; HCW:1560; LTCF_Employee:738; LTCF_Resident:1133; LTCF_Visitor:44","05/14/2020"
"Alaska","31762","387; eth_Hispanic:37; eth_Non-Hispanic:329; eth_Unknown Ethnicity:21",1113,4,0,"AI/AN:26; ASIAN:45; BLACK:9; MULTI:14; NH/PI:13; OTHER:12; UNKNOWN:15; WHITE:253","0-10:9; 10-19:23; 20-29:67; 30-39:75; 40-49:56; 50-59:69; 60-69:55; 70-79:25; 80+:8; UNKNOWN:0","FEMALE:190; MALE:197; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5","0-10:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"39; eth_Hispanic:4; eth_Non-Hispanic:32; eth_Unknown Ethnicity:3","AI/AN:4; ASIAN:7; BLACK:0; MULTI:0; WHITE:20; NA:8","0-10:0; 10-19:0; 20-29:3; 30-39:5; 40-49:2; 50-59:6; 60-69:9; 70-79:12; 80+:2; UNKNOWN:0","FEMALE:16; MALE:23; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:108; expr_Secondary_Cases:169; expr_Travel_Cases:99; expr_UI_Cases:11; All_Beds:2280; Inpatient_Beds:1851; Inpatient_Occup:860; Inpatient_Avail:991; ICU_Beds:195; ICU_Occup:87; ICU_Avail:108; Pos_COVID_PUI_Pending:12; Vent_Cap:346; Vent_Avail:319; Vent_Occup:27","05/13/2020"
"Arizona","175455","12674",NA,NA,NA,"AI/AN:1488; ASIAN:140; BLACK:401; MULTI:0; OTHER:265; UNKNOWN:5217; WHITE:2888","0-19:972; 20-44:4835; 45-54:2136; 55-64:1915; 65+:2807; UNKNOWN:9","FEMALE:6709; MALE:5937; UNKNOWN/OTHER:0","624","AI/AN:104; ASIAN:7; BLACK:20; MULTI:0; OTHER:9; UNKNOWN:122; WHITE:269","WHITE:269; AFRA:20; NATA:104; ASIAN:7; OTHER:9; MULTI:NA; UNKNOWN:122","FEMALE:287; MALE:337; UNKNOWN/OTHER:0",NA,"1636","AI/AN:172; ASIAN:35; BLACK:86; MULTI:0; WHITE:642; NA:263","0-19:15; 20-44:310; 45-54:257; 55-64:310; 65+:744; UNKNOWN:NA","FEMALE:769; MALE:867; UNKNOWN/OTHER:0","manual",NA,"05/14/2020"
"Arkansas","87574","4366",NA,NA,NA,"AI:11; ASIAN:50; BLACK:1579; HISPANIC:234; MULTI:24; OTHER:156; PI:65; UNKNOWN:180; WHITE:2171","0-17:151; 18-24:359; 25-44:1640; 45-64:1414; 65+:672","FEMALE:0.391; MALE:0.606","98",NA,NA,NA,NA,"509",NA,NA,NA,"pdf","curr_hosp:5; recovered:4; active_cases:6; curr_vent:2; ever_vent:1; nursing_home_res:3","05/14/2020"
"California",NA,"73164",NA,NA,NA,"AI/AN:92; ASIAN:5339; BLACK:2937; HISPANIC:25582; MULTI:436; NH/PI:488; OTHER:2715; PENDING:23950; WHITE:11625","0-17:2799; 18-49:18334; 50-64:18268; 65+:18154",NA,"2926","AI/AN:10; ASIAN:437; BLACK:285; HISPANIC:1022; MULTI:13; NH/PI:25; OTHER:39; PENDING:134; WHITE:961","0-17:0; 18-49:30; 50-64:146; 65+:445",NA,NA,NA,NA,NA,NA,"pdf",NA,"05/13/2020"
"Colorado",NA,"18804",NA,NA,NA,"HISPANIC:0.3461; NH AI/AN:0.0044; NH ASIAN:0.0286; NH BLACK:0.0632; NH MULTI:0.0081; NH NH/PI:0.0041; NH WHITE:0.3694; OTHER:0.0098; UNKNOWN:0.1665","0-9:370; 10-19:800; 20-29:3129; 30-39:3580; 40-49:3603; 50-59:3478; 60-69:2532; 70-79:1602; 80+:1690; UNKNOWN:54","FEMALE:0.5054; MALE:0.4843; UNKNOWN/OTHER:0.0104","906","HISPANIC:0.1778; NH AI/AN:0.0064; NH ASIAN:0.0412; NH BLACK:0.0697; NH MULTI:0.0092; NH NH/PI:0.0037; NH WHITE:0.6535; OTHER:0.0064; UNKNOWN:0.0321","10-19:1; 20-29:6; 30-39:7; 40-49:28; 50-59:55; 60-69:146; 70-79:250; 80+:598","FEMALE:0.44; MALE:0.5573; UNKNOWN/OTHER:0.0027",NA,"558",NA,"0-9:31; 10-19:30; 20-29:162; 30-39:311; 40-49:475; 50-59:674; 60-69:677; 70-79:518; 80+:338; UNKNOWN:1",NA,"tableau",NA,"05/14/2020"
"Connecticut","149562","35464",6619,609,94,"HISPANIC:5079; NH AI/AN:30; NH ASIAN/PI:444; NH BLACK:3720; NH MULTI:43; NH OTHER:163; NH WHITE:9964; UNKNOWN:11178","0-9:328; 10-19:789; 20-29:3866; 30-39:4934; 40-49:5095; 50-59:6266; 60-69:5299; 70-79:3495; 80+:5260","FEMALE:19352; MALE:15924","3219","HISPANIC:234; NH AI/AN:0; NH ASIAN/PI:25; NH BLACK:399; NH MULTI:8; NH OTHER:14; NH WHITE:1879; UNKNOWN:74","0-9:1; 10-19:1; 20-29:4; 30-39:19; 40-49:45; 50-59:130; 60-69:403; 70-79:695; 80+:1918","FEMALE:1622; MALE:1589",NA,NA,NA,NA,NA,NA,"No race dataset https://data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um; curr_hosp:1103","05/13/2020"
"Delaware","36857; Unknown**:6791; Hispanic/Latino:4096; Non-Hispanic Black:8469; Non-Hispanic White:14563; Another/Multiple:2364; Asian/Pacific Islander:574","7223",NA,NA,NA,"ASIAN/PI:109; HISPANIC:1976; MULTI:393; NH BLACK:1974; NH WHITE:1952; UNKNOWN:819","0-4:82; 5-17:311; 18-34:1876; 35-49:1917; 50-64:1711; 65+:1326","FEMALE:3948; MALE:3248; UNKNOWN/OTHER:27","260","ASIAN/PI:1; HISPANIC:21; MULTI:3; NH BLACK:64; NH WHITE:154; UNKNOWN:17","0-4:0; 5-17:0; 18-34:8; 35-49:6; 50-64:35; 65+:211","FEMALE:137; MALE:123",NA,NA,NA,NA,NA,NA,"Current Hospitalizations:2; Recovered:4","05/14/2020"
"District of Columbia","32999","6736",NA,NA,NA,"AI/AN:18; ASIAN:93; BLACK:3179; MULTI:0; OTHER:1515; UNKNOWN:837; WHITE:1076",NA,NA,"358","AI/AN:0; ASIAN:5; BLACK:277; MULTI:0; OTHER:0; UNKNOWN:2; WHITE:0","WHITE:NA; AFRA:277; NATA:NA; ASIAN:5; OTHER:NA; MULTI:NA; UNKNOWN:2",NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","05/14/2020"
"Florida","609574","42038",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:8607; MULTI:0; OTHER:3680; UNKNOWN:6735; WHITE:23016","0-4:250; 5-14:528; 15-24:3286; 25-34:6288; 35-44:6281; 45-54:7424; 55-64:7060; 65-74:5132; 75-84:3479; 85+:2301; UNKNOWN:9","FEMALE:21190; MALE:20848; UNKNOWN/OTHER:0","1875","AI/AN:0; ASIAN:0; BLACK:414; MULTI:0; OTHER:115; UNKNOWN:80; WHITE:1266","WHITE:1266; AFRA:414; NATA:NA; ASIAN:NA; OTHER:115; MULTI:NA; UNKNOWN:80",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:2050; MULTI:0; WHITE:4678; NA:1021","0-4:16; 5-14:14; 15-24:116; 25-34:381; 35-44:637; 45-54:976; 55-64:1364; 65-74:1649; 75-84:1510; 85+:1086; UNKNOWN:0",NA,"pdf","Age data only available in images on site","05/14/2020"
