"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama","14538","127616; eth_Hispanic/Latino:7079; eth_Not Hispanic/Latino:56325; eth_Unknown:54730",NA,NA,NA,"ASIAN:  457; BLACK:30827; OTHER: 7450; UNKNOWN:41034; WHITE:38366","65+:19980; 0-4:2366; 18-24:17257; 25-49:46262; 5-17:8394; 50-64:23875","FEMALE:65575; MALE:51245; UNKNOWN:1314","2200; eth_Hispanic/Latino:62; eth_Not Hispanic/Latino:1777; eth_Unknown:263","ASIAN:   7; BLACK: 844; OTHER:  47; UNKNOWN:  80; WHITE:1124","65+:1625; 0-4:3; 18-24:4; 25-49:98; 50-64:372","FEMALE:1005; MALE:1090; UNKNOWN:1",NA,"12958",NA,NA,NA,"arcgis, pdf","CLN_ICU:1487; CLN_VENT:817; HCW:6855; LTCF_Employee:2731; LTCF_Resident:5309","09/01/20"
"Alaska","25834","5298; eth_Hispanic:267; eth_Non-Hispanic:1951; eth_UI Ethnicity:2624",NA,NA,NA,"AI/AN: 829; ASIAN: 127; BLACK: 175; HN/PI: 216; MULTI: 168; OTHER: 147; UNKNOWN: 456; WHITE:1223","0-9:251; 10-19:562; 20-29:1261; 30-39:979; 40-49:737; 50-59:695; 60-69:488; 70-79:232; 80+:93; UNKNOWN:0","FEMALE:2652; MALE:2645; UNKNOWN:1","39; eth_Hispanic:0; eth_Non-Hispanic:37; eth_UI Ethnicity:1","AI/AN:14; ASIAN: 3; BLACK: 0; HN/PI: 5; MULTI: 0; OTHER: 0; UNKNOWN: 1; WHITE:16","0-9:0; 10-19:0; 20-29:0; 30-39:2; 40-49:2; 50-59:4; 60-69:5; 70-79:16; 80+:10; UNKNOWN:0","FEMALE:14; MALE:25; UNKNOWN:0",NA,"220; eth_Hispanic:13; eth_Non-Hispanic:169; eth_UI Ethnicity:27","AI/AN:55; ASIAN:12; BLACK: 6; HN/PI:42; MULTI: 4; OTHER: 7; UNKNOWN:11; WHITE:70","0-9:1; 10-19:1; 20-29:14; 30-39:20; 40-49:27; 50-59:40; 60-69:42; 70-79:48; 80+:27; UNKNOWN:0","FEMALE:93; MALE:127; UNKNOWN:0","arcgis + raw data","All_Beds:4253; Inpatient_Beds:3276; Inpatient_Occup:1814; Inpatient_Avail:1462; ICU_Beds:335; ICU_Occup:144; ICU_Avail:191; Pos_COVID_PUI_Pending:82; Vent_Cap:632; Vent_Avail:566; Vent_Occup:66; FID:105; facility_filter:7; Pos_COVID:74","08/31/20"
"Arizona","1475209","202342",NA,NA,NA,"AI/AN:11947; ASIAN: 1838; BLACK: 6056; HISPANIC:60972; MULTI:    0; OTHER: 5976; UNKNOWN:68715; WHITE:46838","0-19:25183; 20-44:98647; 45-54:31292; 55-64:23844; 65+:23053; UNKNOWN:323","FEMALE:104923; MALE:97065","5044","AI/AN: 541; ASIAN:  57; BLACK: 157; HISPANIC:1516; MULTI:   0; OTHER:  83; UNKNOWN: 593; WHITE:2097","0-19:11; 20-44:293; 45-54:354; 55-64:793; 65+:3593; UNKNOWN:NA","FEMALE:2149; MALE:2894",NA,"21405","AI/AN:1923; ASIAN: 279; BLACK: 999; HISPANIC:7938; MULTI:   0; OTHER: 774; UNKNOWN:1883; WHITE:7609","0-19:787; 20-44:5762; 45-54:3489; 55-64:3981; 65+:7384; UNKNOWN:2","FEMALE:10409; MALE:10990","manual",NA,"09/01/20"
"Arkansas","731025","61497; eth_hispanic:13348; eth_nonhispanic:48149",NA,NA,NA,"AI/AN:  189; ASIAN:  818; BLACK:13741; HN/PI: 2368; OTHER: 5115; UNKNOWN: 5042; WHITE:34224","0-17:7832; 18-24:8346; 25-44:21792; 45-64:16196; 65+:7331","FEMALE:29564; MALE:31735; UNKNOWN:198","814; eth_hispanic:65; eth_nonhispanic:749","AI/AN:  3; ASIAN: 11; BLACK:197; HN/PI: 40; OTHER: 45; UNKNOWN:  6; WHITE:512","0-17:0; 18-24:0; 25-44:39; 45-64:192; 65+:583",NA,"case_diabetes:4447; case_cardiac_disease:1688; case_hypertension:7455; case_cpd:1382; case_ckd:430; case_immunocompromised:439","2966",NA,NA,NA,"pdf","curr_hosp:513; recovered:55647; active_cases:5036; curr_vent:108; ever_vent:403; death_nursingHome:279; death_jailed:38; healthcareWorker:4449","09/01/20"
"California","11470696","707797",NA,NA,NA,"AI/AN:  1162; ASIAN: 25585; BLACK: 20098; HISPANIC:282690; HN/PI:  2643; MULTI:  4340; OTHER: 55381; WHITE: 79526","0-4:15265; 5-17:56511; 18-34:248839; 35-49:176011; 50-59:98608; 60-64:35567; 65-69:24455; 70-74:16900; 75-79:11727; 80+:23016; UNKNOWN:898","FEMALE:357162; MALE:344006; UNKNOWN:6629","12795","AI/AN:  41; ASIAN:1488; BLACK: 979; HISPANIC:6110; HN/PI:  55; MULTI:  77; OTHER: 145; WHITE:3716","0-4:0; 5-17:3; 18-34:190; 35-49:734; 50-59:1315; 60-64:1044; 65-69:1295; 70-74:1453; 75-79:1452; 80+:5307; UNKNOWN:2","FEMALE:5409; MALE:7364; UNKNOWN:22",NA,NA,NA,NA,NA,"pdf",NA,"08/31/20"
"Colorado","714501","57775",NA,NA,NA,"AI/AN:0.005; ASIAN:0.020; BLACK:0.047; HISPANIC:0.380; HN/PI:0.004; NH MULTI:0.013; NH WHITE:0.365; OTHER:0.008; UNKNOWN:0.157","0-9:0.034; 10-19:0.079; 20-29:0.217; 30-39:0.181; 40-49:0.16; 50-59:0.14; 60-69:0.089; 70-79:0.051; 80+:0.048; UNKNOWN:0.001","FEMALE:0.487; MALE:0.466; UNKNOWN:0.048","1946","AI/AN:0.007; ASIAN:0.032; BLACK:0.065; HISPANIC:0.229; HN/PI:0.003; NH MULTI:0.014; NH WHITE:0.628; OTHER:0.004; UNKNOWN:0.018","10-19:0.002; 20-29:0.007; 30-39:0.009; 40-49:0.029; 50-59:0.066; 60-69:0.128; 70-79:0.233; 80+:0.526","FEMALE:0.444; MALE:0.553; UNKNOWN:0.003",NA,"7053",NA,NA,NA,"tableau",NA,"09/01/20"
"Connecticut","1190215","53006",19245,130,1,"HISPANIC:10253; NH AI/AN:   52; NH ASIAN/PI:  771; NH BLACK: 7023; NH MULTI:  191; NH OTHER:  350; NH WHITE:18617; UNKNOWN:15749","0-9:945; 10-19:2291; 20-29:7144; 30-39:7718; 40-49:7422; 50-59:8732; 60-69:6999; 70-79:4618; 80+:7110","FEMALE:28817; MALE:24069","4466","HISPANIC: 395; NH AI/AN:   2; NH ASIAN/PI:  48; NH BLACK: 659; NH MULTI:  35; NH OTHER:  21; NH WHITE:3265; UNKNOWN:  41","0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:57; 50-59:183; 60-69:547; 70-79:975; 80+:2677","FEMALE:2341; MALE:2124",NA,NA,NA,NA,NA,NA,"curr_hosp:56","08/31/20"
"Delaware","238423; race_Non-Hispanic White:105279; race_Non-Hispanic Black:43560; race_Hispanic/Latino:18318; race_Another/Multiple:16388; race_Asian/Pacific Islander:4575; race_Unknown:50303","17535",NA,NA,NA,"ASIAN/PI: 230; HISPANIC:4285; MULTI: 813; NH BLACK:4572; NH WHITE:6169; UNKNOWN:1466","0-4:266; 5-17:1078; 18-34:5515; 35-49:4224; 50-64:3627; 65+:2825","FEMALE:9410; MALE:8099; UNKNOWN:26","605","ASIAN/PI:  1; HISPANIC: 44; MULTI:  9; NH BLACK:155; NH WHITE:370; UNKNOWN: 26","0-4:0; 5-17:0; 18-34:12; 35-49:15; 50-64:76; 65+:502","FEMALE:319; MALE:286",NA,NA,NA,NA,NA,NA,"curr_hosp:11; Recoveries:9419","09/01/20"
"District of Columbia","292844","14049; eth_Unknown:1264; eth_Hispanic or Latino:3658; eth_NOT Hispanic or Latino:9112; eth_Refused During Interview:15",NA,NA,NA,"AI/AN:  34; ASIAN: 217; BLACK:7221; HN/PI:  38; MULTI:3293; UNKNOWN: 252; WHITE:2994","0-4:247; 5-14:449; 15-19:402; 20-24:1014; 25-34:3069; 35-44:2484; 45-54:2063; 55-64:1980; 65-74:1253; 75+:1072; UNKNOWN:16","FEMALE:7152; MALE:6854; UNKNOWN:43","607",NA,NA,"FEMALE:259; MALE:348",NA,NA,NA,NA,NA,"interactive",NA,"09/01/20"
"Florida","4663302","624116; eth_hispanic:178795; eth_non_hispanic:236722; eth_unk:208599",NA,NA,NA,"AI/AN:     0; ASIAN:     0; BLACK: 96966; MULTI:     0; OTHER: 80675; UNKNOWN: 15414; WHITE:264331","0-4:10645; 5-14:25839; 15-24:93056; 25-34:117306; 35-44:102211; 45-54:100026; 55-64:81696; 65-74:47546; 75-84:27413; 85+:16084; UNKNOWN:2294","FEMALE:319172; MALE:300711; UNKNOWN:4233","11374; eth_hispanic:2846; eth_non_hispanic:7415; eth_unk:1113","AI/AN:   0; ASIAN:   0; BLACK:2208; MULTI:   0; OTHER: 945; UNKNOWN: 110; WHITE:7635","0-4:0; 5-14:4; 15-24:27; 25-34:75; 35-44:211; 45-54:474; 55-64:1223; 65-74:2392; 75-84:3311; 85+:3657; UNKNOWN:0",NA,NA,"38859; eth_hispanic:11702; eth_non_hispanic:24634; eth_unk:2523","AI/AN:    0; ASIAN:    0; BLACK: 9381; MULTI:    0; OTHER: 4691; UNKNOWN:  281; WHITE:23305","0-4:245; 5-14:220; 15-24:980; 25-34:2220; 35-44:3360; 45-54:4960; 55-64:6887; 65-74:7596; 75-84:7113; 85+:5272; UNKNOWN:6",NA,"pdf","Age data only available in images on site","09/01/20"
