"X.1","state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
28,"Alabama","608088","71813; eth_Hispanic/Latino:5459; eth_Not Hispanic/Latino:36518; eth_Unknown:28436",NA,NA,NA,"ASIAN:  270; BLACK:20886; OTHER: 3960; UNKNOWN:22601; WHITE:22696","65+:11540; 0-4:1357; 25-49:29052; 5-24:14121; 50-64:14063; UNKNOWN:280","FEMALE:39276; MALE:30536; UNKNOWN:601","1364; eth_Hispanic/Latino:45; eth_Not Hispanic/Latino:1126; eth_Unknown:154","ASIAN:  4; BLACK:561; OTHER: 27; UNKNOWN: 61; WHITE:672","65+:1038; 0-4:3; 25-49:56; 5-24:2; 50-64:226","FEMALE:642; MALE:680",NA,"8538",NA,NA,NA,"arcgis, pdf","CLN_ICU:1018; CLN_VENT:540; HCW:4864; LTCF_Employee:2014; LTCF_Resident:3256","07/22/20"
25,"Alaska","175586","1949; eth_Hispanic:110; eth_Non-Hispanic:1004; eth_Unknown Ethnicity:835",NA,NA,NA,"ASIAN: 67; BLACK: 47; HN/PI: 67; MULTI: 54; OTHER: 38; UNKNOWN:698; WHITE:727; NA:251","0-9:83; 10-19:185; 20-29:470; 30-39:385; 40-49:273; 50-59:250; 60-69:183; 70-79:91; 80+:29; UNKNOWN:0","FEMALE:993; MALE:956; UNKNOWN:0","18; eth_Hispanic:1; eth_Non-Hispanic:2; eth_Unknown Ethnicity:1","ASIAN:0.111; BLACK:0.000; HN/PI:0.056; MULTI:0.000; OTHER:0.000; UNKNOWN:0.000; WHITE:0.611; NA:0.222","0-9:0; 10-19:0; 20-29:0; 30-39:0.111; 40-49:0; 50-59:0.111; 60-69:0.111; 70-79:0.5; 80+:0.167; UNKNOWN:0","FEMALE:0.5; MALE:0.5; UNKNOWN:0",NA,"100; eth_Hispanic:2; eth_Non-Hispanic:3; eth_Unknown Ethnicity:1","ASIAN:0.09; BLACK:0.01; HN/PI:0.11; MULTI:0.00; OTHER:0.05; UNKNOWN:0.08; WHITE:0.47; NA:0.19","0-9:0; 10-19:0.01; 20-29:0.09; 30-39:0.1; 40-49:0.06; 50-59:0.21; 60-69:0.19; 70-79:0.25; 80+:0.09; UNKNOWN:0","FEMALE:0.4; MALE:0.6; UNKNOWN:0","arcgis + raw data","expr_1:3; expr_2:2; expr_3:1; expr_4:13; expr_5:14; expr_6:15; expr_7:16; expr_8:17; expr_9:18; expr_10:4; expr_11:5; expr_12:6; expr_13:7; expr_14:8; expr_15:9; expr_16:10; expr_17:11; expr_18:12","07/19/20"
NA,"Arizona","1003987","145183",NA,NA,NA,"ASIAN: 1064; BLACK: 3119; HISPANIC:33459; MULTI:    0; OTHER: 2812; UNKNOWN:72643; WHITE:23228; NA: 8858","0-19:16501; 20-44:72158; 45-54:22441; 55-64:17179; 65+:16710; UNKNOWN:194","FEMALE:75584; MALE:69201","2784","ASIAN:  29; BLACK:  81; HISPANIC: 727; MULTI:   0; OTHER:  51; UNKNOWN: 440; WHITE:1073; NA: 383","0-19:10; 20-44:166; 45-54:187; 55-64:395; 65+:2026; UNKNOWN:NA","FEMALE:1216; MALE:1567",NA,"6698","ASIAN: 103; BLACK: 306; HISPANIC:2583; MULTI:   0; OTHER: 125; UNKNOWN: 470; WHITE:2331; NA: 780","0-19:101; 20-44:1414; 45-54:1017; 55-64:1193; 65+:2973; UNKNOWN:0","FEMALE:3257; MALE:3438","manual",NA,"07/20/20"
18,"Arkansas","432816","33927; eth_hispanic:8065; eth_nonhispanic:25862",NA,NA,NA,"ASIAN:  467; BLACK: 7167; HN/PI: 1915; OTHER: 2956; UNKNOWN: 4808; WHITE:16524; NA:   90","0-17:4123; 18-24:4618; 25-44:12584; 45-64:9070; 65+:3532","FEMALE:15560; MALE:18245; UNKNOWN:122","363; eth_hispanic:38; eth_nonhispanic:325","ASIAN:  6; BLACK: 95; HN/PI: 29; OTHER: 26; UNKNOWN:  1; WHITE:206; NA:  0","0-17:0; 18-24:0; 25-44:20; 45-64:95; 65+:248",NA,"case_diabetes:2239; case_cardiac_disease:781; case_hypertension:3550; case_cpd:669; case_ckd:232; case_immunocompromised:222","2257",NA,NA,NA,"pdf","curr_hosp:471; recovered:26397; active_cases:7167; curr_vent:111; ever_vent:316; death_nursingHome:111; death_jailed:19; healthcareWorker:2040","07/20/20"
26,"California","6664419","413576",NA,NA,NA,"AI/AN:   587; ASIAN: 14920; BLACK: 11396; HISPANIC:146903; HN/PI:  1590; MULTI:  1967; OTHER: 40455; WHITE: 46562","0-4:7781; 5-17:28181; 18-34:145577; 35-49:103835; 50-59:58648; 60-64:21408; 65-69:14916; 70-74:10504; 75-79:7343; 80+:14910; UNKNOWN:473","FEMALE:206176; MALE:205180; UNKNOWN:2220","7793","AI/AN:  27; ASIAN:1008; BLACK: 660; HISPANIC:3455; HN/PI:  41; MULTI:  41; OTHER:  93; WHITE:2347","0-4:0; 5-17:0; 18-34:96; 35-49:420; 50-59:758; 60-64:579; 65-69:749; 70-74:847; 75-79:921; 80+:3423; UNKNOWN:0","FEMALE:3346; MALE:4436; UNKNOWN:11",NA,NA,NA,NA,NA,"pdf",NA,"07/21/20"
12,"Colorado","448204","40566",NA,NA,NA,"HISPANIC:0.3632; NH AI/AN:0.0054; NH ASIAN:0.0222; NH BLACK:0.0494; NH HN/PI:0.0033; NH MULTI:0.0100; NH WHITE:0.3329; OTHER:0.0074; UNKNOWN:0.2062","0-9:1131; 10-19:2622; 20-29:8192; 30-39:7206; 40-49:6563; 50-59:5984; 60-69:3962; 70-79:2422; 80+:2440; UNKNOWN:44","FEMALE:0.4933; MALE:0.4757; OTHER:3e-04; UNKNOWN:0.0307","1758","HISPANIC:0.2196; NH AI/AN:0.0057; NH ASIAN:0.0330; NH BLACK:0.0671; NH HN/PI:0.0034; NH MULTI:0.0125; NH WHITE:0.6223; OTHER:0.0040; UNKNOWN:0.0324","10-19:3; 20-29:11; 30-39:12; 40-49:48; 50-59:114; 60-69:226; 70-79:416; 80+:928","FEMALE:0.4477; MALE:0.5495; UNKNOWN:0.0028",NA,"6057",NA,"0-9:56; 10-19:89; 20-29:362; 30-39:552; 40-49:784; 50-59:1077; 60-69:1006; 70-79:709; 80+:470",NA,"tableau",NA,"07/20/20"
5,"Connecticut","655309","48055",27323,161,10,"HISPANIC: 9094; NH AI/AN:   44; NH ASIAN/PI:  690; NH BLACK: 6292; NH MULTI:  140; NH OTHER:  289; NH WHITE:17038; UNKNOWN:14468","0-9:703; 10-19:1522; 20-29:5994; 30-39:6821; 40-49:6745; 50-59:8062; 60-69:6662; 70-79:4466; 80+:7024","FEMALE:26294; MALE:21641","4406","HISPANIC: 380; NH AI/AN:   2; NH ASIAN/PI:  49; NH BLACK: 653; NH MULTI:  31; NH OTHER:  21; NH WHITE:3226; UNKNOWN:  44","0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:56; 50-59:181; 60-69:542; 70-79:958; 80+:2642","FEMALE:2307; MALE:2097",NA,NA,NA,NA,NA,NA,"curr_hosp:54","07/19/20"
17,"Delaware","155973; race_Non-Hispanic White:70077; race_Non-Hispanic Black:30606; race_Hispanic/Latino:12573; race_Another/Multiple:10523; race_Asian/Pacific Islander:2706; race_Unknown:29488","13624",NA,NA,NA,"ASIAN/PI: 191; HISPANIC:3576; MULTI: 654; NH BLACK:3478; NH WHITE:4509; UNKNOWN:1216","0-4:176; 5-17:740; 18-34:4169; 35-49:3304; 50-64:2869; 65+:2366","FEMALE:7513; MALE:6092; UNKNOWN:19","523","ASIAN/PI:  1; HISPANIC: 34; MULTI:  6; NH BLACK:134; NH WHITE:326; UNKNOWN: 22","0-4:0; 5-17:0; 18-34:11; 35-49:14; 50-64:66; 65+:432","FEMALE:276; MALE:247",NA,NA,NA,NA,NA,NA,"curr_hosp:14; Recoveries:7360","07/20/20"
32,"District of Columbia","151740","11339; eth_Unknown:1447; eth_Hispanic or Latino:3101; eth_NOT Hispanic or Latino:6774; eth_Refused During Interview:17",NA,NA,NA,"AI/AN:  27; ASIAN: 177; BLACK:5576; HN/PI:  30; MULTI:2906; UNKNOWN: 303; WHITE:2320","0-4:155; 5-14:304; 15-19:271; 20-24:726; 25-34:2299; 35-44:2044; 45-54:1703; 55-64:1747; 65-74:1102; 75+:976; UNKNOWN:12","FEMALE:5679; MALE:5639; UNKNOWN:21","579","ASIAN:  8; BLACK:427; HISPANIC: 76; NH WHITE: 62; OTHER:  6","0-18:0; 20-29:3; 30-39:8; 40-49:20; 50-59:66; 60-69:136; 70-79:147; 80+:199","FEMALE:246; MALE:333",NA,NA,NA,NA,NA,"interactive",NA,"07/20/20"
NA,"Florida","3055922","355899; eth_hispanic:88268; eth_non_hispanic:114382; eth_unk:153249",NA,NA,NA,"ASIAN:     0; BLACK: 52527; MULTI:     0; OTHER: 30536; UNKNOWN:  5927; WHITE:133859; NA:     0","0-4:5769; 5-14:12786; 15-24:56341; 25-34:71877; 35-44:58460; 45-54:55856; 55-64:44596; 65-74:25899; 75-84:14915; 85+:8768; UNKNOWN:632","FEMALE:181752; MALE:171657; UNKNOWN:2490","5072; eth_hispanic:1301; eth_non_hispanic:3337; eth_unk:434","ASIAN:   0; BLACK:1034; MULTI:   0; OTHER: 368; UNKNOWN:  38; WHITE:3435; NA:   0","0-4:0; 5-14:2; 15-24:12; 25-34:35; 35-44:109; 45-54:211; 55-64:495; 65-74:1021; 75-84:1445; 85+:1742; UNKNOWN:0",NA,NA,"21263; eth_hispanic:6965; eth_non_hispanic:13000; eth_unk:1298","ASIAN:    0; BLACK: 5381; MULTI:    0; OTHER: 2384; UNKNOWN:  130; WHITE:12731; NA:    0","0-4:105; 5-14:82; 15-24:517; 25-34:1323; 35-44:1968; 45-54:2806; 55-64:3756; 65-74:4091; 75-84:3767; 85+:2848; UNKNOWN:0",NA,"pdf","Age data only available in images on site","07/20/20"
