"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama","224892","18246; eth_Not Hispanic/Latino:12826; eth_Unknown:3776; eth_Hispanic/Latino:1644",NA,NA,NA,"ASIAN:  85; BLACK:7680; OTHER: 794; UNKNOWN:2714; WHITE:6973","25-49:7464; 0-4:235; 5-24:2291; 50-64:4293; 65+:3959; UNKNOWN:4","FEMALE:10540; MALE:7585; UNKNOWN/OTHER:121","644; eth_Not Hispanic/Latino:557; eth_Unknown:75; eth_Hispanic/Latino:12","ASIAN:  3; BLACK:282; OTHER:  8; UNKNOWN: 24; WHITE:327","25-49:22; 50-64:103; 65+:519","FEMALE:296; MALE:346",NA,"1876",NA,NA,NA,"arcgis, pdf","CLN_ICU:591; CLN_VENT:355; HCW:2253; LTCF_Employee:1031; LTCF_Resident:1695; LTCF_Visitor:58","06/01/20"
"Alaska","54190","467; eth_Hispanic:40; eth_Non-Hispanic:372; eth_Unknown Ethnicity:55",1127,7,0,"AI/AN: 44; ASIAN: 46; BLACK: 13; MULTI: 16; NH/PI: 15; OTHER: 12; UNKNOWN: 41; WHITE:280","0-9:13; 10-19:36; 20-29:80; 30-39:89; 40-49:64; 50-59:81; 60-69:62; 70-79:30; 80+:12; UNKNOWN:0","FEMALE:226; MALE:241; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5","0-9:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"47; eth_Hispanic:4; eth_Non-Hispanic:41; eth_Unknown Ethnicity:2","AI/AN: 7; ASIAN: 7; BLACK: 0; MULTI: 0; NH/PI: 4; OTHER: 4; UNKNOWN: 0; WHITE:25","0-9:0; 10-19:1; 20-29:3; 30-39:5; 40-49:2; 50-59:9; 60-69:9; 70-79:15; 80+:3; UNKNOWN:0","FEMALE:20; MALE:27; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:132; expr_Secondary_Cases:179; expr_Travel_Cases:103; expr_UI_Cases:53; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:947; Inpatient_Avail:893; ICU_Beds:195; ICU_Occup:82; ICU_Avail:113; Pos_COVID_PUI_Pending:10; Vent_Cap:349; Vent_Avail:318; Vent_Occup:31","05/31/20"
"Arizona","321926","20123",NA,NA,NA,"AI/AN:2986; ASIAN: 207; BLACK: 739; HISPANIC:4771; MULTI:   0; OTHER: 553; UNKNOWN:5859; WHITE:5008","0-19:1848; 20-44:8120; 45-54:3290; 55-64:2928; 65+:3920; UNKNOWN:17","FEMALE:10693; MALE:9394","917","AI/AN:178; ASIAN: 12; BLACK: 29; HISPANIC:142; MULTI:  0; OTHER: 16; UNKNOWN: 96; WHITE:444","0-19:2; 20-44:44; 45-54:47; 55-64:110; 65+:714; UNKNOWN:NA","FEMALE:414; MALE:502",NA,"3018","AI/AN: 603; ASIAN:  54; BLACK: 158; HISPANIC: 827; MULTI:   0; OTHER:  56; UNKNOWN: 175; WHITE:1145","0-19:27; 20-44:609; 45-54:501; 55-64:586; 65+:1295; UNKNOWN:0","FEMALE:1491; MALE:1527","manual",NA,"06/01/20"
"Arkansas","133236","7443; eth_hispanic:1104; eth_nonhispanic:6339",NA,NA,NA,"ASIAN:  75; BLACK:2406; MULTI: 137; OTHER: 566; UNKNOWN: 513; WHITE:3556; NA: 327","0-17:525; 18-24:752; 25-44:2874; 45-64:2279; 65+:1013","FEMALE:3070; MALE:4292; UNKNOWN/OTHER:81","133; eth_hispanic:5; eth_nonhispanic:128","ASIAN: 1; BLACK:46; MULTI: 1; OTHER: 7; UNKNOWN: 0; WHITE:76; NA: 3","0-17:0; 18-24:0; 25-44:5; 45-64:30; 65+:98",NA,"case_diabetes:644; case_cardiac_disease:285; case_hypertension:1191; case_cpd:242; case_ckd:104; case_immunocompromised:105","718",NA,NA,NA,"pdf","curr_hosp:121; recovered:5401; active_cases:1909; curr_vent:26; ever_vent:124; nursingHomeRes:391; death_nursingHome:55; death_jailed:11; healthcareWorker:655","06/01/20"
"California","2012583","113006",NA,NA,NA,"AI/AN:  167; ASIAN: 7237; BLACK: 4172; HISPANIC:43392; MULTI:  618; NH/PI:  617; OTHER: 7689; PENDING:33160; WHITE:15954","0-4:1404; 5-17:5084; 18-34:30791; 35-49:28353; 50-59:18727; 60-64:7678; 65-69:5637; 70-74:4218; 75-79:3284; 80+:7653; UNKNOWN:177","FEMALE:0.49; MALE:0.5; UNKNOWN/OTHER:0.01","4080","AI/AN:  14; ASIAN: 595; BLACK: 399; HISPANIC:1563; MULTI:  26; NH/PI:  29; OTHER:  33; PENDING:  77; WHITE:1344","0-4:0; 5-17:0; 18-34:43; 35-49:188; 50-59:358; 60-64:278; 65-69:381; 70-74:434; 75-79:503; 80+:1895; UNKNOWN:0","FEMALE:0.44; MALE:0.56; UNKNOWN/OTHER:0",NA,NA,NA,NA,NA,"pdf",NA,"05/31/20"
"Colorado",NA,"24109",NA,NA,NA,"HISPANIC:0.3720; NH AI/AN:0.0050; NH ASIAN:0.0262; NH BLACK:0.0582; NH MULTI:0.0064; NH NH/PI:0.0041; NH WHITE:0.3435; OTHER:0.0094; UNKNOWN:0.1753","0-9:593; 10-19:1224; 20-29:4304; 30-39:4614; 40-49:4582; 50-59:4249; 60-69:2999; 70-79:1907; 80+:2056; UNKNOWN:49","FEMALE:0.5037; MALE:0.4771; UNKNOWN/OTHER:0.0192","1152","HISPANIC:0.1941; NH AI/AN:0.0055; NH ASIAN:0.0370; NH BLACK:0.0693; NH MULTI:0.0069; NH NH/PI:0.0041; NH WHITE:0.6331; OTHER:0.0055; UNKNOWN:0.0446","10-19:3; 20-29:9; 30-39:9; 40-49:37; 50-59:77; 60-69:182; 70-79:347; 80+:794","FEMALE:0.4438; MALE:0.5521; UNKNOWN/OTHER:0.0041",NA,"3629",NA,"0-9:40; 10-19:38; 20-29:198; 30-39:355; 40-49:536; 50-59:776; 60-69:763; 70-79:555; 80+:367; UNKNOWN:1",NA,"tableau",NA,"06/01/20"
"Connecticut","259320","40670",9274,NA,26,"HISPANIC: 7359; NH AI/AN:   40; NH ASIAN/PI:  599; NH BLACK: 5285; NH MULTI:   97; NH OTHER:  223; NH WHITE:14059; UNKNOWN:13897","0-9:494; 10-19:1058; 20-29:4648; 30-39:5760; 40-49:5835; 50-59:7083; 60-69:5954; 70-79:3887; 80+:5837","FEMALE:22251; MALE:18216","3970","HISPANIC: 332; NH AI/AN:   2; NH ASIAN/PI:  37; NH BLACK: 566; NH MULTI:  24; NH OTHER:  13; NH WHITE:2791; UNKNOWN:  61","0-9:1; 10-19:1; 20-29:4; 30-39:19; 40-49:42; 50-59:125; 60-69:419; 70-79:688; 80+:1812","FEMALE:1578; MALE:1530",NA,NA,NA,NA,NA,NA,"curr_hosp:454","05/31/20"
"Delaware","62447; race_Non-Hispanic White:24529; race_Non-Hispanic Black:13406; race_Hispanic/Latino:6669; race_Another/Multiple:3352; race_Asian/Pacific Islander:928; race_Unknown:13564","9605",NA,NA,NA,"ASIAN/PI: 144; HISPANIC:2677; MULTI: 492; NH BLACK:2540; NH WHITE:2757; UNKNOWN: 995","0-4:115; 5-17:444; 18-34:2532; 35-49:2456; 50-64:2220; 65+:1838","FEMALE:5271; MALE:4289; UNKNOWN/OTHER:45","368","ASIAN/PI:  1; HISPANIC: 24; MULTI:  4; NH BLACK: 97; NH WHITE:221; UNKNOWN: 21","0-4:0; 5-17:0; 18-34:9; 35-49:10; 50-64:56; 65+:293","FEMALE:192; MALE:176",NA,"789",NA,NA,NA,NA,"curr_hosp:1; Recovered:3","06/01/20"
"District of Columbia","47263","38975; eth_hispanic:2336; eth_non_hispanic:4955; eth_unk:1566",NA,NA,NA,"AI/AN:  26; ASIAN: 106; BLACK:4119; HISPANIC:   0; MULTI:2246; NH/PI:  22; UNKNOWN:  58; WHITE:1354","0-4:0; 5-14:0; 15-19:0; 20-24:0; 25-34:0; 35-44:0; 45-54:0; 55-64:0; 64-74:0; 75+:0; UNKNOWN:NA","FEMALE:0; MALE:0; UNKNOWN/OTHER:0","8857","AI/AN:  0; ASIAN:  7; BLACK:351; HISPANIC: 54; MULTI:  0; NH/PI:  0; UNKNOWN:  3; WHITE: 52",NA,NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","06/01/20"
"Florida","1041318","55415; eth_hispanic:19787; eth_non_hispanic:26433; eth_unk:9195",NA,NA,NA,"AI/AN:    0; ASIAN:    0; BLACK:11492; MULTI:    0; OTHER: 5444; UNKNOWN: 8090; WHITE:30389","0-4:467; 5-14:1046; 15-24:4734; 25-34:8575; 35-44:8537; 45-54:9474; 55-64:8962; 65-74:6273; 75-84:4334; 85+:3002; UNKNOWN:11","FEMALE:28049; MALE:27321; UNKNOWN/OTHER:45","2460; eth_hispanic:546; eth_non_hispanic:1737; eth_unk:177","AI/AN:   0; ASIAN:   0; BLACK: 538; MULTI:   0; OTHER: 144; UNKNOWN:  91; WHITE:1687","0-4:0; 5-14:0; 15-24:1; 25-34:13; 35-44:39; 45-54:90; 55-64:224; 65-74:523; 75-84:719; 85+:851; UNKNOWN:0",NA,NA,"10231; eth_hispanic:3341; eth_non_hispanic:6391; eth_unk:499","AI/AN:   0; ASIAN:   0; BLACK:2701; MULTI:   0; OTHER:1020; UNKNOWN: 302; WHITE:6208","0-4:32; 5-14:28; 15-24:170; 25-34:515; 35-44:843; 45-54:1287; 55-64:1782; 65-74:2104; 75-84:1980; 85+:1489; UNKNOWN:1",NA,"pdf","Age data only available in images on site","06/01/20"
