"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama","239159","19073; eth_Not Hispanic/Latino:13363; eth_Unknown:3962; eth_Hispanic/Latino:1748",NA,NA,NA,"ASIAN:  86; BLACK:8049; OTHER: 859; UNKNOWN:2847; WHITE:7232","25-49:7798; 0-4:250; 5-24:2473; 50-64:4446; 65+:4101; UNKNOWN:5","FEMALE:11004; MALE:7940; UNKNOWN/OTHER:129","672; eth_Not Hispanic/Latino:584; eth_Unknown:74; eth_Hispanic/Latino:14","ASIAN:  4; BLACK:295; OTHER:  9; UNKNOWN: 25; WHITE:339","25-49:22; 0-4:1; 50-64:111; 65+:538","FEMALE:310; MALE:360",NA,"7112",NA,NA,NA,"arcgis, pdf",NA,"06/05/20"
"Alaska","60097","524; eth_Hispanic:43; eth_Non-Hispanic:435; eth_Unknown Ethnicity:46",1913,8,0,"AI/AN: 59; ASIAN: 51; BLACK: 15; HN/PI: 16; MULTI: 19; OTHER: 12; UNKNOWN: 34; WHITE:318","0-9:16; 10-19:41; 20-29:93; 30-39:99; 40-49:68; 50-59:93; 60-69:65; 70-79:34; 80+:15; UNKNOWN:0","FEMALE:262; MALE:262; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; HN/PI:1; MULTI:0; OTHER:0; UNKNOWN:0; WHITE:5","0-9:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"48; eth_Hispanic:4; eth_Non-Hispanic:42; eth_Unknown Ethnicity:2","AI/AN: 7; ASIAN: 7; BLACK: 0; HN/PI: 4; MULTI: 0; OTHER: 4; UNKNOWN: 0; WHITE:26","0-9:0; 10-19:1; 20-29:3; 30-39:5; 40-49:2; 50-59:9; 60-69:9; 70-79:15; 80+:4; UNKNOWN:0","FEMALE:20; MALE:28; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:151; expr_Secondary_Cases:209; expr_Travel_Cases:103; expr_UI_Cases:61; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:978; Inpatient_Avail:862; ICU_Beds:195; ICU_Occup:80; ICU_Avail:115; Pos_COVID_PUI_Pending:10; Vent_Cap:349; Vent_Avail:317; Vent_Occup:32","06/03/20"
"Arizona","370255","24332",NA,NA,NA,"AI/AN:3310; ASIAN: 250; BLACK: 812; HISPANIC:5828; MULTI:   0; OTHER: 680; UNKNOWN:8037; WHITE:5415","0-19:2384; 20-44:10215; 45-54:3929; 55-64:3439; 65+:4347; UNKNOWN:18","FEMALE:12913; MALE:11378","1012","AI/AN:186; ASIAN: 13; BLACK: 29; HISPANIC:171; MULTI:  0; OTHER: 19; UNKNOWN:107; WHITE:487","0-19:2; 20-44:49; 45-54:58; 55-64:121; 65+:782; UNKNOWN:NA","FEMALE:461; MALE:550",NA,"3265","AI/AN: 622; ASIAN:  58; BLACK: 169; HISPANIC: 936; MULTI:   0; OTHER:  60; UNKNOWN: 218; WHITE:1202","0-19:35; 20-44:682; 45-54:534; 55-64:634; 65+:1380; UNKNOWN:0","FEMALE:1624; MALE:1641","manual",NA,"06/05/20"
"Arkansas","150975","8651; eth_hispanic:1622; eth_nonhispanic:7029",NA,NA,NA,"ASIAN:  81; BLACK:2597; MULTI: 139; OTHER: 740; UNKNOWN: 644; WHITE:4166; NA: 423","0-17:729; 18-24:905; 25-44:3318; 45-64:2566; 65+:1133","FEMALE:3758; MALE:4872; UNKNOWN/OTHER:21","152; eth_hispanic:7; eth_nonhispanic:145","ASIAN: 1; BLACK:47; MULTI: 2; OTHER: 8; UNKNOWN: 2; WHITE:89; NA: 5","0-17:0; 18-24:0; 25-44:7; 45-64:34; 65+:111",NA,"case_diabetes:747; case_cardiac_disease:320; case_hypertension:1333; case_cpd:260; case_ckd:117; case_immunocompromised:110","807",NA,NA,NA,"pdf","curr_hosp:147; recovered:6077; active_cases:2422; curr_vent:35; ever_vent:141; nursingHomeRes:428; death_nursingHome:63; death_jailed:12; healthcareWorker:729","06/05/20"
"California","2238463","122901",NA,NA,NA,"AI/AN:  175; ASIAN: 7471; BLACK: 4382; HISPANIC:43855; HN/PI:  653; MULTI:  621; OTHER: 8204; PENDING:40969; WHITE:16571","0-17:7408; 18-34:33992; 35-49:30922; 50-64:28396; 65-79:13941; 80+:8061","FEMALE:0.49; MALE:0.5; UNKNOWN/OTHER:0.01","4368","AI/AN:  13; ASIAN: 644; BLACK: 431; HISPANIC:1692; HN/PI:  19; MULTI:  28; OTHER:  33; PENDING:  76; WHITE:1432","0-17:0; 18-34:48; 35-49:209; 50-64:686; 65-79:1402; 80+:2023","FEMALE:0.44; MALE:0.56; UNKNOWN/OTHER:0",NA,NA,NA,NA,NA,"pdf",NA,"06/04/20"
"Colorado",NA,"25099",NA,NA,NA,"HISPANIC:0.3785; NH AI/AN:0.0052; NH ASIAN:0.0266; NH BLACK:0.0580; NH HN/PI:0.0042; NH MULTI:0.0062; NH WHITE:0.3409; OTHER:0.0091; UNKNOWN:0.1713","0-9:633; 10-19:1319; 20-29:4517; 30-39:4805; 40-49:4754; 50-59:4402; 60-69:3086; 70-79:1952; 80+:2106; UNKNOWN:41","FEMALE:0.5039; MALE:0.4782; UNKNOWN/OTHER:0.0179","1205","HISPANIC:0.1995; NH AI/AN:0.0052; NH ASIAN:0.0367; NH BLACK:0.0689; NH HN/PI:0.0039; NH MULTI:0.0066; NH WHITE:0.6220; OTHER:0.0059; UNKNOWN:0.0512","10-19:3; 20-29:9; 30-39:10; 40-49:40; 50-59:84; 60-69:193; 70-79:363; 80+:822","FEMALE:0.4462; MALE:0.5499; UNKNOWN/OTHER:0.0039",NA,"3700",NA,"0-9:40; 10-19:38; 20-29:210; 30-39:365; 40-49:554; 50-59:786; 60-69:778; 70-79:559; 80+:370",NA,"tableau",NA,"06/05/20"
"Connecticut","285314","41387",5857,216,31,"HISPANIC: 7866; NH AI/AN:   39; NH ASIAN/PI:  640; NH BLACK: 5637; NH MULTI:  113; NH OTHER:  241; NH WHITE:15015; UNKNOWN:13909","0-9:517; 10-19:1101; 20-29:4765; 30-39:5875; 40-49:5925; 50-59:7166; 60-69:6028; 70-79:3928; 80+:5961","FEMALE:22630; MALE:18557","4038","HISPANIC: 343; NH AI/AN:   2; NH ASIAN/PI:  44; NH BLACK: 603; NH MULTI:  26; NH OTHER:  16; NH WHITE:2942; UNKNOWN:  62","0-9:1; 10-19:1; 20-29:4; 30-39:18; 40-49:42; 50-59:133; 60-69:425; 70-79:712; 80+:1860","FEMALE:1632; MALE:1561",NA,NA,NA,NA,NA,NA,"curr_hosp:350","06/04/20"
"Delaware","66729; race_Non-Hispanic White:26034; race_Non-Hispanic Black:14182; race_Hispanic/Latino:6991; race_Another/Multiple:3521; race_Asian/Pacific Islander:969; race_Unknown:15032","9773",NA,NA,NA,"ASIAN/PI: 151; HISPANIC:2749; MULTI: 487; NH BLACK:2592; NH WHITE:2828; UNKNOWN: 966","0-4:118; 5-17:450; 18-34:2588; 35-49:2490; 50-64:2256; 65+:1871","FEMALE:5384; MALE:4349; UNKNOWN/OTHER:40","388","ASIAN/PI:  1; HISPANIC: 24; MULTI:  4; NH BLACK:102; NH WHITE:236; UNKNOWN: 21","0-4:0; 5-17:0; 18-34:10; 35-49:10; 50-64:56; 65+:312","FEMALE:206; MALE:182",NA,"48",NA,NA,NA,NA,"curr_hosp:1; Recovered:3","06/05/20"
"District of Columbia","51861","41800; eth_hispanic:2411; eth_non_hispanic:5068; eth_unk:1720",NA,NA,NA,"AI/AN:  26; ASIAN: 108; BLACK:4223; HISPANIC:   0; HN/PI:  22; MULTI:2335; UNKNOWN:  58; WHITE:1366","0-4:114; 5-14:197; 15-19:198; 20-24:511; 25-34:1734; 35-44:1660; 45-54:1425; 55-64:1507; 64-74:968; 75+:877; UNKNOWN:NA","FEMALE:4580; MALE:4599; UNKNOWN/OTHER:20","9199","AI/AN:  0; ASIAN:  7; BLACK:357; HISPANIC: 57; HN/PI:  0; MULTI:  0; UNKNOWN:  5; WHITE: 53",NA,NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","06/06/20"
"Florida","1135865","59993; eth_hispanic:21795; eth_non_hispanic:28167; eth_unk:10031",NA,NA,NA,"AI/AN:    0; ASIAN:    0; BLACK:12439; MULTI:    0; OTHER: 6006; UNKNOWN: 8935; WHITE:32613","0-4:564; 5-14:1285; 15-24:5349; 25-34:9389; 35-44:9331; 45-54:10175; 55-64:9543; 65-74:6624; 75-84:4544; 85+:3169; UNKNOWN:20","FEMALE:30391; MALE:29552; UNKNOWN/OTHER:50","2660; eth_hispanic:607; eth_non_hispanic:1864; eth_unk:189","AI/AN:   0; ASIAN:   0; BLACK: 563; MULTI:   0; OTHER: 161; UNKNOWN:  93; WHITE:1843","0-4:0; 5-14:0; 15-24:1; 25-34:16; 35-44:43; 45-54:96; 55-64:241; 65-74:559; 75-84:776; 85+:928; UNKNOWN:0",NA,NA,"10794; eth_hispanic:3593; eth_non_hispanic:6681; eth_unk:520","AI/AN:   0; ASIAN:   0; BLACK:2857; MULTI:   0; OTHER:1078; UNKNOWN: 315; WHITE:6544","0-4:35; 5-14:32; 15-24:181; 25-34:560; 35-44:913; 45-54:1367; 55-64:1889; 65-74:2191; 75-84:2059; 85+:1566; UNKNOWN:1",NA,"pdf","Age data only available in images on site","06/06/20"
