"X.1","state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
17,"Alabama","711317","92661; eth_Hispanic/Latino:6117; eth_Not Hispanic/Latino:43477; eth_Unknown:40333",NA,NA,NA,"ASIAN:  337; BLACK:24815; OTHER: 4864; UNKNOWN:31884; WHITE:28027","65+:14775; 0-4:1815; 25-49:36680; 5-24:18340; 50-64:18209; UNKNOWN:108","FEMALE:49954; MALE:38998; UNKNOWN:975","1633; eth_Hispanic/Latino:48; eth_Not Hispanic/Latino:1347; eth_Unknown:185","ASIAN:  4; BLACK:654; OTHER: 32; UNKNOWN: 55; WHITE:835","65+:1238; 0-4:3; 25-49:67; 5-24:3; 50-64:269","FEMALE:771; MALE:805",NA,"10865",NA,NA,NA,"arcgis, pdf","CLN_ICU:1153; CLN_VENT:619; HCW:5377; LTCF_Employee:2210; LTCF_Resident:3968","08/03/20"
30,"Alaska","245807","3341; eth_Hispanic:172; eth_Non-Hispanic:1335; eth_UI Ethnicity:1588",NA,NA,NA,"AI/AN:424; ASIAN: 95; BLACK: 97; HN/PI:129; MULTI: 93; OTHER: 67; UNKNOWN:246; WHITE:907","0-9:157; 10-19:341; 20-29:825; 30-39:629; 40-49:459; 50-59:429; 60-69:310; 70-79:141; 80+:50; UNKNOWN:0","FEMALE:1711; MALE:1630; UNKNOWN:0","25; eth_Hispanic:1; eth_Non-Hispanic:2; eth_UI Ethnicity:1","AI/AN:0.36; ASIAN:0.08; BLACK:0.00; HN/PI:0.12; MULTI:0.00; OTHER:0.00; UNKNOWN:0.00; WHITE:0.44","0-9:0; 10-19:0; 20-29:0; 30-39:0.08; 40-49:0.04; 50-59:0.12; 60-69:0.12; 70-79:0.48; 80+:0.16; UNKNOWN:0","FEMALE:0.36; MALE:0.64; UNKNOWN:0",NA,"135; eth_Hispanic:2; eth_Non-Hispanic:3; eth_UI Ethnicity:1","AI/AN:0.259; ASIAN:0.074; BLACK:0.030; HN/PI:0.156; MULTI:0.000; OTHER:0.030; UNKNOWN:0.037; WHITE:0.363","0-9:0; 10-19:0.007; 20-29:0.067; 30-39:0.111; 40-49:0.089; 50-59:0.193; 60-69:0.193; 70-79:0.237; 80+:0.104; UNKNOWN:0","FEMALE:0.4; MALE:0.6; UNKNOWN:0","arcgis + raw data","All_Beds:4253; Inpatient_Beds:3276; Inpatient_Occup:1828; Inpatient_Avail:1448; ICU_Beds:355; ICU_Occup:155; ICU_Avail:200; Pos_COVID_PUI_Pending:76; Vent_Cap:634; Vent_Avail:579; Vent_Occup:55; FID:105; facility_filter:7; Pos_COVID:56","08/02/20"
NA,"Arizona","1196335","179497",NA,NA,NA,"AI/AN: 9980; ASIAN: 1413; BLACK: 4089; HISPANIC:42563; MULTI:    0; OTHER: 4215; UNKNOWN:86233; WHITE:31004","0-19:21561; 20-44:88077; 45-54:27854; 55-64:21206; 65+:20495; UNKNOWN:304","FEMALE:93624; MALE:85377","3779","AI/AN: 455; ASIAN:  47; BLACK: 119; HISPANIC:1055; MULTI:   0; OTHER:  66; UNKNOWN: 546; WHITE:1491","0-19:13; 20-44:218; 45-54:260; 55-64:565; 65+:2723; UNKNOWN:NA","FEMALE:1634; MALE:2144",NA,"11400","AI/AN: 975; ASIAN: 149; BLACK: 516; HISPANIC:4151; MULTI:   0; OTHER: 229; UNKNOWN:1379; WHITE:4001","0-19:414; 20-44:2725; 45-54:1654; 55-64:1934; 65+:4672; UNKNOWN:1","FEMALE:5621; MALE:5774","manual",NA,"08/03/20"
22,"Arkansas","527400","44597; eth_hispanic:10199; eth_nonhispanic:34398",NA,NA,NA,"AI/AN:  123; ASIAN:  627; BLACK: 9398; HN/PI: 2174; OTHER: 3689; UNKNOWN: 6235; WHITE:22351","0-17:5694; 18-24:6132; 25-44:16089; 45-64:11836; 65+:4846","FEMALE:21154; MALE:23341; UNKNOWN:102","475; eth_hispanic:44; eth_nonhispanic:431","AI/AN:  2; ASIAN:  7; BLACK:122; HN/PI: 32; OTHER: 30; UNKNOWN: -3; WHITE:285","0-17:0; 18-24:0; 25-44:26; 45-64:115; 65+:334",NA,"case_diabetes:2976; case_cardiac_disease:1044; case_hypertension:4833; case_cpd:934; case_ckd:300; case_immunocompromised:295","2966",NA,NA,NA,"pdf","curr_hosp:513; recovered:37240; active_cases:6882; curr_vent:108; ever_vent:403; death_nursingHome:129; death_jailed:27; healthcareWorker:2963","08/03/20"
2,"California","8184696","514901",NA,NA,NA,"AI/AN:   778; ASIAN: 17959; BLACK: 14149; HISPANIC:191958; HN/PI:  1942; MULTI:  2678; OTHER: 45387; WHITE: 57183","0-4:10119; 5-17:37167; 18-34:182456; 35-49:129091; 50-59:72448; 60-64:26126; 65-69:18081; 70-74:12552; 75-79:8717; 80+:17436; UNKNOWN:708","FEMALE:256875; MALE:252050; UNKNOWN:5976","9326","AI/AN:  34; ASIAN:1138; BLACK: 761; HISPANIC:4218; HN/PI:  49; MULTI:  49; OTHER: 130; WHITE:2735","0-4:0; 5-17:1; 18-34:136; 35-49:538; 50-59:928; 60-64:718; 65-69:910; 70-74:1049; 75-79:1056; 80+:3989; UNKNOWN:1","FEMALE:3991; MALE:5322; UNKNOWN:13",NA,NA,NA,NA,NA,"pdf",NA,"08/02/20"
13,"Colorado","548808","47968",NA,NA,NA,"HISPANIC:0.3847; NH AI/AN:0.0059; NH ASIAN:0.0217; NH BLACK:0.0510; NH HN/PI:0.0038; NH MULTI:0.0134; NH WHITE:0.3678; OTHER:0.0078; UNKNOWN:0.1440","0-9:1425; 10-19:3374; 20-29:10221; 30-39:8695; 40-49:7682; 50-59:6851; 60-69:4445; 70-79:2651; 80+:2582; UNKNOWN:42","FEMALE:0.4867; MALE:0.4698; OTHER:2e-04; UNKNOWN:0.0434","1844","HISPANIC:0.2256; NH AI/AN:0.0065; NH ASIAN:0.0325; NH BLACK:0.0672; NH HN/PI:0.0033; NH MULTI:0.0136; NH WHITE:0.6302; OTHER:0.0038; UNKNOWN:0.0174","10-19:3; 20-29:12; 30-39:15; 40-49:51; 50-59:119; 60-69:237; 70-79:433; 80+:974","FEMALE:0.4458; MALE:0.5515; UNKNOWN:0.0027",NA,"6487",NA,"0-9:59; 10-19:92; 20-29:401; 30-39:596; 40-49:832; 50-59:1152; 60-69:1080; 70-79:761; 80+:496",NA,"tableau",NA,"08/03/20"
7,"Connecticut","827213","50062",35173,239,5,"HISPANIC: 9494; NH AI/AN:   48; NH ASIAN/PI:  713; NH BLACK: 6550; NH MULTI:  155; NH OTHER:  307; NH WHITE:17622; UNKNOWN:15173","0-9:788; 10-19:1841; 20-29:6450; 30-39:7199; 40-49:7012; 50-59:8344; 60-69:6804; 70-79:4519; 80+:7051","FEMALE:27328; MALE:22608","4437","HISPANIC: 383; NH AI/AN:   2; NH ASIAN/PI:  48; NH BLACK: 656; NH MULTI:  34; NH OTHER:  20; NH WHITE:3253; UNKNOWN:  41","0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:57; 50-59:182; 60-69:544; 70-79:966; 80+:2661","FEMALE:2327; MALE:2109",NA,NA,NA,NA,NA,NA,"curr_hosp:56","08/02/20"
21,"Delaware","187659; race_Non-Hispanic White:83056; race_Non-Hispanic Black:35360; race_Hispanic/Latino:14695; race_Another/Multiple:13933; race_Asian/Pacific Islander:3217; race_Unknown:37398","15055",NA,NA,NA,"ASIAN/PI: 207; HISPANIC:3857; MULTI: 744; NH BLACK:3789; NH WHITE:5105; UNKNOWN:1353","0-4:209; 5-17:875; 18-34:4670; 35-49:3612; 50-64:3138; 65+:2551","FEMALE:8320; MALE:6711; UNKNOWN:24","585","ASIAN/PI:  1; HISPANIC: 40; MULTI:  8; NH BLACK:149; NH WHITE:361; UNKNOWN: 26","0-4:0; 5-17:0; 18-34:12; 35-49:15; 50-64:70; 65+:488","FEMALE:313; MALE:272",NA,NA,NA,NA,NA,NA,"curr_hosp:9; Recoveries:8267","08/03/20"
31,"District of Columbia","198815","12313; eth_Unknown:1654; eth_Hispanic or Latino:3234; eth_NOT Hispanic or Latino:7410; eth_Refused During Interview:15",NA,NA,NA,"AI/AN:  28; ASIAN: 186; BLACK:6098; HN/PI:  32; MULTI:3245; UNKNOWN: 266; WHITE:2458","0-4:184; 5-14:338; 15-19:323; 20-24:842; 25-34:2605; 35-44:2190; 45-54:1838; 55-64:1815; 65-74:1159; 75+:1006; UNKNOWN:13","FEMALE:6189; MALE:6080; UNKNOWN:44","586","ASIAN:  8; BLACK:433; HISPANIC: 77; NH WHITE: 62; OTHER:  6","0-18:0; 20-29:4; 30-39:8; 40-49:21; 50-59:68; 60-69:137; 70-79:147; 80+:201","FEMALE:248; MALE:338",NA,NA,NA,NA,NA,"interactive",NA,"08/03/20"
NA,"Florida","3758496","486384; eth_hispanic:126448; eth_non_hispanic:162413; eth_unk:197523",NA,NA,NA,"AI/AN:     0; ASIAN:     0; BLACK: 72237; MULTI:     0; OTHER: 52838; UNKNOWN: 12660; WHITE:186622","0-4:8197; 5-14:18933; 15-24:74388; 25-34:94660; 35-44:80145; 45-54:77766; 55-64:62660; 65-74:36132; 75-84:20731; 85+:11973; UNKNOWN:799","FEMALE:249516; MALE:233237; UNKNOWN:3631","7157; eth_hispanic:1819; eth_non_hispanic:4595; eth_unk:743","AI/AN:   0; ASIAN:   0; BLACK:1451; MULTI:   0; OTHER: 569; UNKNOWN:  75; WHITE:4746","0-4:0; 5-14:3; 15-24:19; 25-34:52; 35-44:155; 45-54:313; 55-64:728; 65-74:1464; 75-84:2046; 85+:2377; UNKNOWN:0",NA,NA,"27366; eth_hispanic:8574; eth_non_hispanic:16910; eth_unk:1882","AI/AN:    0; ASIAN:    0; BLACK: 6793; MULTI:    0; OTHER: 3213; UNKNOWN:  204; WHITE:16303","0-4:165; 5-14:122; 15-24:685; 25-34:1661; 35-44:2467; 45-54:3607; 55-64:4840; 65-74:5315; 75-84:4866; 85+:3638; UNKNOWN:0",NA,"pdf","Age data only available in images on site","08/03/20"
