state_name,total.tested,total.case,total.tested.today,total.positive.today,total.death.today,positive_race,positive_age,positive_gender,total.death,death_race,death_age,death_gender,comorbidities,total_hosp,hosp_race,hosp_age,hosp_gender,platform,comments,last.update
Alabama,NA,13031; eth_Unknown:2477; eth_Not Hispanic/Latino:9464; eth_Hispanic/Latino:1090,NA,NA,NA,ASIAN:75; BLACK:5240; OTHER:529; UNKNOWN:1779; WHITE:5408,5-24:1407; 65+:3182; 0-4:116; 50-64:3156; 25-49:5162; UNKNOWN:8,FEMALE:7552; MALE:5371; UNKNOWN/OTHER:108,522; eth_Unknown:63; eth_Not Hispanic/Latino:447; eth_Hispanic/Latino:12,ASIAN:3; BLACK:226; OTHER:7; UNKNOWN:19; WHITE:267,65+:424; 50-64:84; 25-49:14,FEMALE:236; MALE:285,NA,1523,NA,NA,NA,"arcgis, pdf",CLN_ICU:526; CLN_VENT:311; HCW:1786; LTCF_Employee:823; LTCF_Resident:1260; LTCF_Visitor:48,5/20/20
Alaska,37045,402; eth_Hispanic:38; eth_Non-Hispanic:344; eth_Unknown Ethnicity:20,665,3,0,AI/AN:31; ASIAN:46; BLACK:9; MULTI:14; NH/PI:14; OTHER:12; UNKNOWN:15; WHITE:261,0-10:9; 10-19:26; 20-29:69; 30-39:80; 40-49:57; 50-59:71; 60-69:55; 70-79:27; 80+:8; UNKNOWN:0,FEMALE:197; MALE:205; UNKNOWN/OTHER:0,10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0,AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5,0-10:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0,FEMALE:5; MALE:5; UNKNOWN/OTHER:0,NA,44; eth_Hispanic:4; eth_Non-Hispanic:38; eth_Unknown Ethnicity:2,AI/AN:6; ASIAN:7; BLACK:0; MULTI:0; WHITE:23; NA:8,0-10:0; 10-19:1; 20-29:3; 30-39:5; 40-49:2; 50-59:8; 60-69:9; 70-79:13; 80+:3; UNKNOWN:0,FEMALE:18; MALE:26; UNKNOWN/OTHER:0,arcgis + raw data,expr_Community_Cases:115; expr_Secondary_Cases:173; expr_Travel_Cases:103; expr_UI_Cases:11; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:879; Inpatient_Avail:961; ICU_Beds:195; ICU_Occup:94; ICU_Avail:101; Pos_COVID_PUI_Pending:16; Vent_Cap:345; Vent_Avail:313; Vent_Occup:32,5/19/20
Arizona,227099,14897,NA,NA,NA,AI/AN:1774; ASIAN:164; BLACK:481; MULTI:0; OTHER:313; UNKNOWN:6142; WHITE:3226,0-19:1221; 20-44:5826; 45-54:2484; 55-64:2218; 65+:3140; UNKNOWN:8,FEMALE:7855; MALE:7014; UNKNOWN/OTHER:0,747,AI/AN:124; ASIAN:9; BLACK:23; MULTI:0; OTHER:11; UNKNOWN:156; WHITE:306,0-19:2; 20-44:28; 45-54:37; 55-64:87; 65+:593; UNKNOWN:0,FEMALE:339; MALE:407; UNKNOWN/OTHER:0,NA,NA,AI/AN:187; ASIAN:37; BLACK:93; MULTI:0; WHITE:713; NA:284,0-19:17; 20-44:338; 45-54:279; 55-64:343; 65+:815; UNKNOWN:0,FEMALE:842; MALE:950; UNKNOWN/OTHER:0,manual,NA,5/20/20
Arkansas,108925,5003,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,535,NA,NA,NA,pdf,curr_hosp:6; recovered:5; active_cases:2; curr_vent:3; ever_vent:1; nursing_home_res:4,5/20/20
California,NA,84057,NA,NA,NA,AI/AN:113; ASIAN:6119; BLACK:3418; HISPANIC:31432; MULTI:517; NH/PI:547; OTHER:3015; PENDING:25711; WHITE:13185,0-17:3657; 18-49:21602; 50-64:20989; 65+:20468,NA,3374,AI/AN:14; ASIAN:496; BLACK:335; HISPANIC:1235; MULTI:23; NH/PI:27; OTHER:38; PENDING:81; WHITE:1125,0-17:0; 18-49:34; 50-64:161; 65+:509,NA,NA,NA,NA,NA,NA,pdf,NA,5/19/20
Colorado,NA,20595,NA,NA,NA,HISPANIC:0.3572; NH AI/AN:0.0045; NH ASIAN:0.0276; NH BLACK:0.0612; NH MULTI:0.0072; NH NH/PI:0.004; NH WHITE:0.3574; OTHER:0.0091; UNKNOWN:0.1717,0-9:470; 10-19:936; 20-29:3519; 30-39:3914; 40-49:3937; 50-59:3723; 60-69:2696; 70-79:1708; 80+:1841; UNKNOWN:53,FEMALE:0.5063; MALE:0.4842; UNKNOWN/OTHER:0.0096,1026,HISPANIC:0.1886; NH AI/AN:0.0062; NH ASIAN:0.04; NH BLACK:0.0701; NH MULTI:0.0077; NH NH/PI:0.0031; NH WHITE:0.6405; OTHER:0.0054; UNKNOWN:0.0385,10-19:2; 20-29:7; 30-39:7; 40-49:31; 50-59:70; 60-69:170; 70-79:302; 80+:710,FEMALE:0.4388; MALE:0.5574; UNKNOWN/OTHER:0.0038,NA,NA,NA,0-9:33; 10-19:31; 20-29:173; 30-39:332; 40-49:491; 50-59:703; 60-69:706; 70-79:520; 80+:345,NA,tableau,NA,5/20/20
Connecticut,190718,39017,5198,587,57,HISPANIC:6847; NH AI/AN:38; NH ASIAN/PI:563; NH BLACK:4904; NH MULTI:68; NH OTHER:198; NH WHITE:12455; UNKNOWN:13944,0-9:407; 10-19:935; 20-29:4338; 30-39:5423; 40-49:5549; 50-59:6833; 60-69:5764; 70-79:3829; 80+:5817,FEMALE:21345; MALE:17476,3529,HISPANIC:305; NH AI/AN:1; NH ASIAN/PI:35; NH BLACK:519; NH MULTI:13; NH OTHER:15; NH WHITE:2560; UNKNOWN:81,0-9:1; 10-19:1; 20-29:4; 30-39:20; 40-49:51; 50-59:148; 60-69:436; 70-79:765; 80+:2101,FEMALE:1785; MALE:1737,NA,NA,NA,NA,NA,NA,No race dataset https://data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um; curr_hosp:887,5/20/20
Delaware,45412; race_Non-Hispanic White:2; race_Non-Hispanic Black:1; race_Hispanic/Latino:4; race_Another/Multiple:3; race_Asian/Pacific Islander:5; race_Unknown:6,8194,NA,NA,NA,ASIAN/PI:120; HISPANIC:2265; MULTI:425; NH BLACK:2207; NH WHITE:2318; UNKNOWN:859,0-4:98; 5-17:382; 18-34:2124; 35-49:2135; 50-64:1926; 65+:1529,FEMALE:4492; MALE:3675; UNKNOWN/OTHER:27,310,ASIAN/PI:1; HISPANIC:22; MULTI:3; NH BLACK:76; NH WHITE:188; UNKNOWN:20,0-4:0; 5-17:0; 18-34:8; 35-49:8; 50-64:48; 65+:246,FEMALE:161; MALE:149,NA,220,NA,NA,NA,NA,Recovered:2,5/19/20
District of Columbia,40419,7551,NA,NA,NA,AI/AN:20; ASIAN:97; BLACK:3521; MULTI:0; OTHER:1763; UNKNOWN:992; WHITE:1158,NA,NA,407,AI/AN:0; ASIAN:7; BLACK:313; MULTI:0; OTHER:0; UNKNOWN:2; WHITE:0,NA,NA,NA,NA,NA,NA,NA,xlsx,Deaths are combined between race and ethnicity,5/20/20
Florida,772669,46197,NA,NA,NA,AI/AN:0; ASIAN:0; BLACK:9550; MULTI:0; OTHER:4289; UNKNOWN:6747; WHITE:25611,0-4:314; 5-14:677; 15-24:3681; 25-34:6965; 35-44:6955; 45-54:8048; 55-64:7644; 65-74:5531; 75-84:3795; 85+:2579; UNKNOWN:8,FEMALE:23458; MALE:22739; UNKNOWN/OTHER:0,2096,AI/AN:0; ASIAN:0; BLACK:454; MULTI:0; OTHER:130; UNKNOWN:80; WHITE:1432,0-4:0; 5-14:0; 15-24:0; 25-34:13; 35-44:34; 45-54:79; 55-64:192; 65-74:457; 75-84:628; 85+:693; UNKNOWN:0,NA,NA,NA,AI/AN:0; ASIAN:0; BLACK:2299; MULTI:0; WHITE:5256; NA:1126,0-4:22; 5-14:17; 15-24:133; 25-34:425; 35-44:710; 45-54:1100; 55-64:1524; 65-74:1825; 75-84:1697; 85+:1228; UNKNOWN:0,NA,pdf,Age data only available in images on site,5/20/20
Georgia,NA,39801; eth_HISPANIC/LATINO:4410; eth_NON-HISPANIC/LATINO:20540; eth_UNKNOWN:14851,NA,NA,NA,AI/AN:47; ASIAN:580; BLACK:13702; NH/PI:25; OTHER:2452; UNKNOWN:10657; WHITE:12338,NA,NA,1697; eth_HISPANIC/LATINO:62; eth_NON-HISPANIC/LATINO:1583; eth_UNKNOWN:52,AI/AN:4; ASIAN:28; BLACK:830; NH/PI:2; OTHER:22; UNKNOWN:33; WHITE:778,.:6; 22:2; 25:1; 26:2; 27:1; 28:1; 29:3; 30:2; 31:4; 32:2; 33:6; 34:6; 35:1; 36:3; 37:2; 38:2; 39:1; 40:2; 42:3; 43:4; 44:7; 45:8; 46:7; 47:3; 48:13; 49:13; 50:9; 51:6; 52:6; 53:16; 54:15; 55:12; 56:19; 57:14; 58:23; 59:19; 60:20; 61:27; 62:30; 63:41; 64:28; 65:43; 66:39; 67:36; 68:46; 69:30; 70:44; 71:48; 72:29; 73:53; 74:48; 75:55; 76:41; 77:44; 78:52; 79:53; 80:34; 81:52; 82:46; 83:56; 84:52; 85:59; 86:29; 87:41; 88:33; 89:42; 90+:202,FEMALE:804; MALE:893,No:74; Unknown:541; Yes:1082,7171,NA,NA,NA,webpage,NA,5/20/20
Hawaii,NA,643,NA,NA,NA,AI/AN:0; ASIAN:0; BLACK:0; MULTI:0; OTHER:0; PI:0; UNKNOWN:0; WHITE:0,0-19:34; 20-39:214; 40-59:224; 60+:171,NA,17,NA,NA,NA,NA,82,NA,NA,NA,manual,NA,5/20/20
