"X.1","state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
16,"Alabama","518827","55545; eth_Hispanic/Latino:4824; eth_Not Hispanic/Latino:30503; eth_Unknown:19441",NA,NA,NA,"ASIAN:  219; BLACK:17703; OTHER: 3052; UNKNOWN:15530; WHITE:18264","65+:9134; 0-4:1005; 25-49:22744; 5-24:10790; 50-64:10974; UNKNOWN:121","FEMALE:30611; MALE:23685; UNKNOWN:472","1124; eth_Hispanic/Latino:34; eth_Not Hispanic/Latino:944; eth_Unknown:118","ASIAN:  4; BLACK:483; OTHER: 20; UNKNOWN: 40; WHITE:549","65+:862; 0-4:2; 25-49:47; 5-24:2; 50-64:183","FEMALE:537; MALE:556",NA,"3179",NA,NA,NA,"arcgis, pdf","CLN_ICU:919; CLN_VENT:505; HCW:4354; LTCF_Employee:1848; LTCF_Resident:2801","07/14/20"
27,"Alaska","146590","1539; eth_Hispanic:88; eth_Non-Hispanic:858; eth_Unknown Ethnicity:593",NA,NA,NA,"AI/AN:184; ASIAN: 64; BLACK: 36; HN/PI: 41; MULTI: 43; OTHER: 32; UNKNOWN:503; WHITE:636","0-9:62; 10-19:142; 20-29:354; 30-39:296; 40-49:229; 50-59:216; 60-69:144; 70-79:72; 80+:24; UNKNOWN:0","FEMALE:769; MALE:769; UNKNOWN:1","17; eth_Hispanic:1; eth_Non-Hispanic:2; eth_Unknown Ethnicity:1","AI/AN:0.176; ASIAN:0.118; BLACK:0.000; HN/PI:0.059; MULTI:0.000; OTHER:0.000; UNKNOWN:0.000; WHITE:0.647","0-9:0; 10-19:0; 20-29:0; 30-39:0.118; 40-49:0; 50-59:0.059; 60-69:0.118; 70-79:0.529; 80+:0.176; UNKNOWN:0","FEMALE:0.471; MALE:0.529; UNKNOWN:0",NA,"87; eth_Hispanic:2; eth_Non-Hispanic:3; eth_Unknown Ethnicity:1","AI/AN:0.184; ASIAN:0.092; BLACK:0.011; HN/PI:0.080; MULTI:0.000; OTHER:0.046; UNKNOWN:0.057; WHITE:0.529","0-9:0; 10-19:0.011; 20-29:0.092; 30-39:0.092; 40-49:0.046; 50-59:0.218; 60-69:0.184; 70-79:0.276; 80+:0.08; UNKNOWN:0","FEMALE:0.425; MALE:0.575; UNKNOWN:0","arcgis + raw data","All_Beds:4295; Inpatient_Beds:3298; Inpatient_Occup:1724; Inpatient_Avail:1574; ICU_Beds:367; ICU_Occup:164; ICU_Avail:203; Pos_COVID_PUI_Pending:44; Vent_Cap:630; Vent_Avail:581; Vent_Occup:49; FID:105","07/12/20"
NA,"Arizona","892480","122467",NA,NA,NA,"AI/AN: 7783; ASIAN:  913; BLACK: 2709; HISPANIC:28514; MULTI:    0; OTHER: 2342; UNKNOWN:60311; WHITE:19895","0-19:13714; 20-44:61170; 45-54:19006; 55-64:14391; 65+:14019; UNKNOWN:167","FEMALE:63600; MALE:58525","2237","AI/AN:344; ASIAN: 24; BLACK: 64; HISPANIC:540; MULTI:  0; OTHER: 42; UNKNOWN:316; WHITE:907","0-19:8; 20-44:125; 45-54:147; 55-64:312; 65+:1645; UNKNOWN:NA","FEMALE:998; MALE:1238",NA,"5795","AI/AN: 745; ASIAN:  95; BLACK: 279; HISPANIC:2192; MULTI:   0; OTHER: 101; UNKNOWN: 345; WHITE:2038","0-19:93; 20-44:1270; 45-54:908; 55-64:1065; 65+:2459; UNKNOWN:0","FEMALE:2832; MALE:2960","manual",NA,"07/13/20"
21,"Arkansas","389505","28939; eth_hispanic:6914; eth_nonhispanic:22025",NA,NA,NA,"AI/AN:   74; ASIAN:  398; BLACK: 6122; HN/PI: 1752; OTHER: 2564; UNKNOWN: 4324; WHITE:13705","0-17:3534; 18-24:3898; 25-44:10754; 45-64:7788; 65+:2965","FEMALE:12962; MALE:15725; UNKNOWN:252","323; eth_hispanic:30; eth_nonhispanic:293","AI/AN:  0; ASIAN:  3; BLACK: 79; HN/PI: 27; OTHER: 20; UNKNOWN: 21; WHITE:173","0-17:0; 18-24:0; 25-44:16; 45-64:82; 65+:225",NA,"case_diabetes:1942; case_cardiac_disease:671; case_hypertension:3043; case_cpd:566; case_ckd:209; case_immunocompromised:189","1872",NA,NA,NA,"pdf","curr_hosp:439; recovered:22106; active_cases:6510; curr_vent:89; ever_vent:273; nursingHomeRes:902; death_nursingHome:105; death_jailed:15; healthcareWorker:1732","07/13/20"
2,"California","5544365","329162",NA,NA,NA,"AI/AN:   458; ASIAN: 12648; BLACK:  9196; HISPANIC:115828; HN/PI:  1282; MULTI:  1563; OTHER: 33170; WHITE: 37400","0-17:0; 18-34:22; 50-64:27360; 65-79:382629","FEMALE:162718; MALE:164635; UNKNOWN:1809","1062388","AI/AN:  25; ASIAN: 934; BLACK: 615; HISPANIC:3029; HN/PI:  34; MULTI:  40; OTHER:  84; WHITE:2147","0-17:112873; 18-34:2949336; 35-49:1192; 50-64:301","FEMALE:3040; MALE:3965; UNKNOWN:9",NA,NA,NA,NA,NA,"pdf",NA,"07/12/20"
13,"Colorado","401942","37242",NA,NA,NA,"HISPANIC:0.3710; NH AI/AN:0.0055; NH ASIAN:0.0231; NH BLACK:0.0513; NH HN/PI:0.0035; NH MULTI:0.0103; NH WHITE:0.3384; OTHER:0.0079; UNKNOWN:0.1890","0-9:1019; 10-19:2303; 20-29:7264; 30-39:6534; 40-49:6098; 50-59:5570; 60-69:3741; 70-79:2304; 80+:2366; UNKNOWN:43","FEMALE:0.4953; MALE:0.4752; OTHER:3e-04; UNKNOWN:0.0292","1727","HISPANIC:0.2177; NH AI/AN:0.0052; NH ASIAN:0.0336; NH BLACK:0.0683; NH HN/PI:0.0035; NH MULTI:0.0122; NH WHITE:0.6190; OTHER:0.0046; UNKNOWN:0.0359","10-19:3; 20-29:10; 30-39:12; 40-49:47; 50-59:111; 60-69:221; 70-79:405; 80+:918","FEMALE:0.4511; MALE:0.5455; UNKNOWN:0.0035",NA,"5941",NA,"0-9:55; 10-19:85; 20-29:356; 30-39:539; 40-49:779; 50-59:1049; 60-69:980; 70-79:697; 80+:459",NA,"tableau",NA,"07/13/20"
7,"Connecticut","587331","47510",31101,215,23,"HISPANIC: 9029; NH AI/AN:   44; NH ASIAN/PI:  688; NH BLACK: 6262; NH MULTI:  138; NH OTHER:  290; NH WHITE:17016; UNKNOWN:14043","0-9:689; 10-19:1458; 20-29:5863; 30-39:6741; 40-49:6680; 50-59:7989; 60-69:6607; 70-79:4441; 80+:6986","FEMALE:25978; MALE:21412","4371","HISPANIC: 374; NH AI/AN:   2; NH ASIAN/PI:  48; NH BLACK: 645; NH MULTI:  30; NH OTHER:  21; NH WHITE:3206; UNKNOWN:  45","0-9:1; 10-19:1; 20-29:4; 30-39:21; 40-49:56; 50-59:176; 60-69:542; 70-79:951; 80+:2619","FEMALE:2283; MALE:2086",NA,NA,NA,NA,NA,NA,"curr_hosp:74","07/12/20"
20,"Delaware","139363; race_Non-Hispanic White:62445; race_Non-Hispanic Black:28184; race_Hispanic/Latino:11602; race_Another/Multiple:8601; race_Asian/Pacific Islander:2361; race_Unknown:26170","12879",NA,NA,NA,"ASIAN/PI: 184; HISPANIC:3464; MULTI: 616; NH BLACK:3278; NH WHITE:4174; UNKNOWN:1163","0-4:162; 5-17:667; 18-34:3906; 35-49:3118; 50-64:2749; 65+:2277","FEMALE:7088; MALE:5773; UNKNOWN:18","517","ASIAN/PI:  1; HISPANIC: 32; MULTI:  6; NH BLACK:132; NH WHITE:324; UNKNOWN: 22","0-4:0; 5-17:0; 18-34:11; 35-49:14; 50-64:67; 65+:425","FEMALE:273; MALE:244",NA,NA,NA,NA,NA,NA,"curr_hosp:12; Recoveries:7139","07/13/20"
28,"District of Columbia","130220","10906; eth_Unknown:1318; eth_Hispanic or Latino:3056; eth_NOT Hispanic or Latino:6514; eth_Refused During Interview:18",NA,NA,NA,"AI/AN:  27; ASIAN: 170; BLACK:2390; HN/PI:  29; MULTI:2818; UNKNOWN: 242; WHITE:2230","0-4:146; 5-14:280; 15-19:255; 20-24:668; 25-34:2156; 35-44:1978; 45-54:1656; 55-64:1711; 65-74:1080; 75+:964; UNKNOWN:12","FEMALE:5469; MALE:5418; UNKNOWN:19","568","ASIAN:  8; BLACK:421; HISPANIC: 74; NH WHITE: 60; OTHER:  5","0-18:0; 20-29:3; 30-39:7; 40-49:19; 50-59:66; 60-69:134; 70-79:144; 80+:195","FEMALE:243; MALE:325",NA,NA,NA,NA,NA,"interactive",NA,"07/13/20"
NA,"Florida","2642613","278667; eth_hispanic:71366; eth_non_hispanic:90704; eth_unk:116597",NA,NA,NA,"AI/AN:     0; ASIAN:     0; BLACK: 41811; MULTI:     0; OTHER: 23176; UNKNOWN:  4128; WHITE:107783","0-4:4399; 5-14:9473; 15-24:44962; 25-34:57581; 35-44:45543; 45-54:43147; 55-64:34419; 65-74:19958; 75-84:11619; 85+:7047; UNKNOWN:519","FEMALE:141536; MALE:135336; UNKNOWN:1795","4277; eth_hispanic:1109; eth_non_hispanic:2849; eth_unk:319","AI/AN:   0; ASIAN:   0; BLACK: 897; MULTI:   0; OTHER: 305; UNKNOWN:  24; WHITE:2905","0-4:0; 5-14:2; 15-24:11; 25-34:25; 35-44:89; 45-54:181; 55-64:400; 65-74:872; 75-84:1195; 85+:1502; UNKNOWN:0",NA,NA,"18498; eth_hispanic:6252; eth_non_hispanic:11197; eth_unk:1049","AI/AN:    0; ASIAN:    0; BLACK: 4777; MULTI:    0; OTHER: 2029; UNKNOWN:  113; WHITE:11066","0-4:94; 5-14:73; 15-24:449; 25-34:1155; 35-44:1738; 45-54:2485; 55-64:3245; 65-74:3550; 75-84:3235; 85+:2474; UNKNOWN:0",NA,"pdf","Age data only available in images on site","07/13/20"
32,"Georgia","1154983","127834; eth_Hispanic/Latino:18261; eth_Non-Hispanic/Latino:58243; eth_Unknown:51330",NA,NA,NA,"AI/AN:   88; ASIAN: 1683; BLACK:33849; HN/PI:  147; OTHER: 9968; UNKNOWN:43566; WHITE:38533","0-0:509; 1-4:1280; 5-9:1733; 10-17:5567; 18-29:30859; 30-39:22065; 40-49:20330; 50-59:18702; 60-69:12650; 70-79:7351; 80+:5821; UNKNOWN:967","FEMALE:65607; MALE:57184; UNKNOWN:5043","3091; eth_Hispanic/Latino:171; eth_Non-Hispanic/Latino:2893; eth_Unknown:27","AI/AN:   4; ASIAN:  49; BLACK:1445; HN/PI:   6; OTHER:  83; UNKNOWN:  15; WHITE:1489","0-0:26; 1-4:31; 5-9:14; 10-17:97; 18-29:899; 30-39:1307; 40-49:1859; 50-59:2635; 60-69:2864; 70-79:2318; 80+:2015; UNKNOWN:37","FEMALE:1512; MALE:1578; UNKNOWN:1","Unknown:715; No:444; Yes:1932","14102",NA,"0-0:0; 1-4:0; 5-9:0; 10-17:1; 18-29:20; 30-39:58; 40-49:118; 50-59:264; 60-69:565; 70-79:828; 80+:1236; UNKNOWN:1",NA,"webpage",NA,"07/16/20"
NA,"Hawaii",NA,"1220",NA,NA,NA,"AI/AN:  0; ASIAN:340; BLACK: 10; HN/PI:346; MULTI:  0; OTHER: 26; UNKNOWN:  0; WHITE:205","0-19:104; 20-39:344; 40-59:339; 60+:243",NA,"19",NA,NA,NA,NA,"125",NA,"0-19:NA; 20-39:10; 40-59:31; 60+:77",NA,"manual",NA,"07/13/20"
NA,"Idaho","129540","11402; eth_hispanic:4140; eth_non_hispanic:2153; eth_unk:5108",NA,NA,NA,"AI/AN: 144.00; ASIAN: 154.00; BLACK: 232.00; HN/PI:  59.00; MULTI: 604.00; OTHER:1818.00; UNKNOWN:  38.45; WHITE:8463.00","0-17:919; 18-29:3897; 30-39:1928; 40-49:1659; 50-59:1377; 60-69:842; 70-79:436; 80+:334","FEMALE:5915; MALE:5432","102; eth_hispanic:8; eth_non_hispanic:94; eth_unk:NA","AI/AN: 1; ASIAN: 2; BLACK: 1; HN/PI: 0; MULTI: 0; OTHER: 1; UNKNOWN: 0; WHITE:97","0-17:0; 18-29:0; 30-39:0; 40-49:0; 50-59:3; 60-69:14; 70-79:21; 80+:64","FEMALE:52; MALE:50",NA,"500",NA,NA,NA,"manual","Percentages present. Manual entry.","07/13/20"
4,"Illinois","2012994; age_Unknown:76172; age_<20:143100; age_20-29:289402; age_30-39:294172; age_40-49:277468; age_50-59:311022; age_60-69:280622; age_70-79:180834; age_80+:160202; gender_Male:802995; gender_Female:1048457; gender_Unknown/Left Blank:161542; race_White:552613; race_Black:177156; race_Left Blank:1031567; race_Other:60907; race_Asian:29314; race_Hispanic:157735; race_NH/PI*:2256; race_AI/AN**:1446","154799",30012,883,6,"AI/AN:  227; ASIAN: 4337; BLACK:25984; HISPANIC:49110; HN/PI:  386; OTHER: 5759; UNKNOWN:35281; WHITE:33715","0-19:12593; 20-29:26796; 30-39:25435; 40-49:26753; 50-59:25468; 60-69:17719; 70-79:9841; 80+:10137; UNKNOWN:57","FEMALE:79022; MALE:72976; UNKNOWN:2801","7193","AI/AN:  10; ASIAN: 344; BLACK:1992; HISPANIC:1484; HN/PI:   8; OTHER:  52; UNKNOWN: 103; WHITE:3200","0-19:4; 20-29:25; 30-39:111; 40-49:250; 50-59:592; 60-69:1290; 70-79:1729; 80+:3192; UNKNOWN:0","FEMALE:3296; MALE:3890; UNKNOWN:7",NA,NA,NA,NA,NA,"webpage",NA,"07/13/20"
12,"Indiana","570409; age_0-19:45721; age_20-29:87200; age_30-39:88609; age_40-49:86045; age_50-59:92946; age_60-69:81697; age_70-79:51297; age_80+:33621; age_Unknown:3273; gender_F:327212; gender_M:231625; gender_Unknown:11572; race_Asian:4869; race_Black or African American:50565; race_Other Race:79031; race_Unknown:100722; race_White:335222; eth_Hispanic or Latino:18757; eth_Not Hispanic or Latino:218089; eth_Unknown:333563","52037; eth_Hispanic or Latino:5827; eth_Not Hispanic or Latino:17435; eth_Unknown:28775",121,452,0,"ASIAN:  744; BLACK: 6202; OTHER: 9148; UNKNOWN:11775; WHITE:24168","0-19:3913; 20-29:8720; 30-39:8301; 40-49:8599; 50-59:8055; 60-69:6192; 70-79:3896; 80+:4329; UNKNOWN:32","FEMALE:27182; MALE:23942; UNKNOWN:913","2569; eth_Hispanic or Latino:51; eth_Not Hispanic or Latino:1357; eth_Unknown:1161","ASIAN:  13; BLACK: 370; OTHER: 338; UNKNOWN: 179; WHITE:1669","0-19:2; 20-29:8; 30-39:18; 40-49:46; 50-59:131; 60-69:407; 70-79:627; 80+:1330; UNKNOWN:0","FEMALE:1253; MALE:1262; UNKNOWN:54",NA,NA,NA,NA,NA,"interactive","BEDS_ICU_TOTAL:2358; BEDS_ICU_OCCUPIED_COVID_19:255; BEDS_ICU_NO_OCCUPIED_COVID_19:1217; BEDS_AVAILABLE_ICU_BEDS_TOTAL:886; VENTS_TOTAL:2920; VENTS_ALL_USE_COVID_19:71; VENTS_NON_COVID_PTS_ON_VENTS:418; VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:2431; PCT_BEDS_ICU_OCCUPIED_COVID_19:10.81; PCT_BEDS_ICU_NO_OCCUPIED_COVID_19:51.61; PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL:37.57; PCT_VENTS_ALL_USE_COVID_19:2.43; PCT_VENTS_NON_COVID_PTS_ON_VENTS:14.32; PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE:83.25","07/12/20"
NA,"Iowa","376731","35427; eth_hispanic:0.22; eth_non_hispanic:0.61; eth_unk:0.17",NA,NA,NA,"AI/AN:0.01; ASIAN:0.06; BLACK:0.09; HN/PI:0.01; OTHER:0.01; UNKNOWN:0.19; WHITE:0.64","0-17:0.05; 18-40:0.48; 41-60:0.3; 61-80:0.12; 80+:0.04","FEMALE:0.48; MALE:0.5; UNKNOWN:0.02","752; eth_hispanic:0.0678; eth_non_hispanic:0.8152; eth_unk:0.117","AI/AN:0.0066; ASIAN:0.0319; BLACK:0.0479; HN/PI:0.0160; OTHER:0.0040; UNKNOWN:0.0971; WHITE:0.7965","0-17:0; 18-40:0.0253; 41-60:0.1011; 61-80:0.4043; 80+:0.4694","FEMALE:0.4734; MALE:0.5253; UNKNOWN:0",NA,NA,NA,NA,NA,"manual",NA,"07/13/20"
NA,"Kansas","217779","18611; eth_hispanic:6892; eth_non_hispanic:7913; eth_unk:3806",NA,NA,NA,"AI/AN:  122; ASIAN:  817; BLACK: 1474; OTHER:  846; UNKNOWN: 3388; WHITE:11964","0-9:542; 10-17:921; 18-24:3340; 25-34:3589; 35-44:2945; 45-54:3152; 55-64:2158; 65-74:1027; 75-84:530; 85+:396; UNKNOWN:11","FEMALE:8851; MALE:9452; UNKNOWN:308","284; eth_hispanic:36; eth_non_hispanic:238; eth_unk:10","AI/AN:  2; ASIAN:  9; BLACK: 61; OTHER:  8; UNKNOWN:  6; WHITE:198","0-9:0; 10-17:0; 18-24:0; 25-34:2; 35-44:13; 45-54:6; 55-64:41; 65-74:56; 75-84:65; 85+:101; UNKNOWN:NA","FEMALE:131; MALE:153; UNKNOWN:0",NA,"1304; eth_hispanic:398; eth_non_hispanic:813; eth_unk:93","AI/AN:  6; ASIAN: 50; BLACK:204; OTHER: 93; UNKNOWN: 75; WHITE:876","0-9:15; 10-17:2; 18-24:41; 25-34:86; 35-44:211; 45-54:154; 55-64:268; 65-74:238; 75-84:165; 85+:124; UNKNOWN:0",NA,"manual",NA,"07/13/20"
19,"Kentucky","480372","19656; eth_Non-Hisp:57.0034%; eth_Hispanic:10.6966%",NA,NA,NA,"AI/AN:  68; ASIAN: 462; BLACK:1813; HN/PI:  35; MULTI:  94; OTHER: 714; UNKNOWN:6592; WHITE:9878","0-9:583; 10-19:1175; 20-29:3508; 30-39:3165; 40-49:3043; 50-59:2887; 60-69:2200; 70-79:1465; 80+:1415; UNKNOWN:215","FEMALE:10356; MALE:9154; UNKNOWN:146","629; eth_Non-Hisp:90.10764%; eth_Hispanic:3.85236%","AI/AN:  0; ASIAN:  9; BLACK: 89; HN/PI:  0; MULTI:  4; OTHER:  9; UNKNOWN: 38; WHITE:480","0-9:1; 10-19:0; 20-29:0; 30-39:4; 40-49:13; 50-59:39; 60-69:100; 70-79:153; 80+:319; UNKNOWN:0","FEMALE:341; MALE:288; UNKNOWN:0",NA,"2791","AI/AN:   5; ASIAN: 121; BLACK: 471; HN/PI:   2; MULTI:  18; OTHER: 103; UNKNOWN: 395; WHITE:2210","0-9:27; 10-19:61; 20-29:265; 30-39:323; 40-49:420; 50-59:555; 60-69:606; 70-79:546; 80+:522; UNKNOWN:0","FEMALE:1806; MALE:1518; UNKNOWN:1","arcgis","icu_0-9:3; icu_10-19:6; icu_20-29:20; icu_30-39:48; icu_40-49:59; icu_50-59:145; icu_60-69:207; icu_70-79:191; icu_80+:114; icu_Unconfirmed:0; icu_F:359; icu_M:434; icu_U:0; recovered:4.35; total_icu:793","07/13/20"
