"state_name","total.tested","total.case","total.tested.today","total.positive.today","total.death.today","positive_race","positive_age","positive_gender","total.death","death_race","death_age","death_gender","comorbidities","total_hosp","hosp_race","hosp_age","hosp_gender","platform","comments","last.update"
"Alabama",NA,"14479; eth_Unknown:2871; eth_Not Hispanic/Latino:10386; eth_Hispanic/Latino:1222",NA,NA,NA,"ASIAN:79; BLACK:5973; OTHER:581; UNKNOWN:2048; WHITE:5798","5-24:1643; 65+:3407; 0-4:146; 50-64:3486; 25-49:5776; UNKNOWN:21","FEMALE:8402; MALE:5962; UNKNOWN/OTHER:115","551; eth_Unknown:68; eth_Not Hispanic/Latino:471; eth_Hispanic/Latino:12","ASIAN:3; BLACK:239; OTHER:7; UNKNOWN:21; WHITE:281","65+:450; 50-64:86; 25-49:15","FEMALE:248; MALE:301",NA,"1619",NA,NA,NA,"arcgis, pdf","CLN_ICU:539; CLN_VENT:321; HCW:1912; LTCF_Employee:871; LTCF_Resident:1367; LTCF_Visitor:51","05/24/20"
"Alaska","43507","408; eth_Hispanic:39; eth_Non-Hispanic:348; eth_Unknown Ethnicity:21",1156,0,0,"AI/AN:33; ASIAN:46; BLACK:10; MULTI:15; NH/PI:14; OTHER:12; UNKNOWN:15; WHITE:263","0-9:9; 10-19:27; 20-29:70; 30-39:80; 40-49:58; 50-59:72; 60-69:56; 70-79:28; 80+:8; UNKNOWN:0","FEMALE:200; MALE:208; UNKNOWN/OTHER:0","10; eth_Hispanic:0; eth_Non-Hispanic:10; eth_Unknown Ethnicity:0","AI/AN:2; ASIAN:2; BLACK:0; MULTI:0; NH/PI:1; OTHER:0; UNKNOWN:0; WHITE:5","0-9:0; 10-19:0; 20-29:0; 30-39:2; 40-49:0; 50-59:1; 60-69:1; 70-79:5; 80+:1; UNKNOWN:0","FEMALE:5; MALE:5; UNKNOWN/OTHER:0",NA,"45; eth_Hispanic:4; eth_Non-Hispanic:39; eth_Unknown Ethnicity:2","AI/AN:7; ASIAN:7; BLACK:0; MULTI:0; NH/PI:4; OTHER:4; UNKNOWN:0; WHITE:23","0-9:0; 10-19:1; 20-29:3; 30-39:5; 40-49:2; 50-59:8; 60-69:9; 70-79:14; 80+:3; UNKNOWN:0","FEMALE:19; MALE:26; UNKNOWN/OTHER:0","arcgis + raw data","expr_Community_Cases:118; expr_Secondary_Cases:173; expr_Travel_Cases:103; expr_UI_Cases:14; All_Beds:2280; Inpatient_Beds:1840; Inpatient_Occup:1021; Inpatient_Avail:819; ICU_Beds:195; ICU_Occup:85; ICU_Avail:110; Pos_COVID_PUI_Pending:10; Vent_Cap:345; Vent_Avail:316; Vent_Occup:29","05/23/20"
"Arizona","253789","16039",NA,NA,NA,"AI/AN:1908; ASIAN:175; BLACK:522; HISPANIC:3231; MULTI:0; OTHER:374; UNKNOWN:6402; WHITE:3427","0-19:1361; 20-44:6311; 45-54:2654; 55-64:2371; 65+:3331; UNKNOWN:11","FEMALE:8447; MALE:7571","799","AI/AN:132; ASIAN:11; BLACK:23; HISPANIC:124; MULTI:0; OTHER:12; UNKNOWN:162; WHITE:335","0-19:2; 20-44:34; 45-54:42; 55-64:95; 65+:626; UNKNOWN:NA","FEMALE:359; MALE:439",NA,NA,"AI/AN:197; ASIAN:38; BLACK:99; HISPANIC:527; MULTI:0; OTHER:47; UNKNOWN:270; WHITE:752","0-19:17; 20-44:370; 45-54:311; 55-64:366; 65+:866; UNKNOWN:0","FEMALE:916; MALE:1014","manual",NA,"05/23/20"
"Arkansas","123232","5922",NA,NA,NA,NA,NA,NA,"116",NA,NA,NA,NA,"605",NA,NA,NA,"pdf","curr_hosp:6; recovered:5; active_cases:2; curr_vent:3; ever_vent:1; nursing_home_res:4","05/24/20"
"California",NA,"92710",NA,NA,NA,"AI/AN:126; ASIAN:6518; BLACK:3660; HISPANIC:35760; MULTI:562; NH/PI:565; OTHER:3780; PENDING:27521; WHITE:14218","0-4:973; 5-17:3489; 18-34:24169; 35-49:23162; 50-59:15763; 60-64:6598; 65-69:4915; 70-74:3663; 75-79:2932; 80+:6914; UNKNOWN:132",NA,"3646","AI/AN:14; ASIAN:528; BLACK:360; HISPANIC:1357; MULTI:24; NH/PI:28; OTHER:35; PENDING:72; WHITE:1228","0-4:0; 5-17:0; 18-34:36; 35-49:168; 50-59:318; 60-64:238; 65-69:348; 70-74:387; 75-79:456; 80+:1694; UNKNOWN:1",NA,NA,NA,NA,NA,NA,"pdf",NA,"05/24/20"
"Colorado",NA,"21857",NA,NA,NA,"HISPANIC:0.3625; NH AI/AN:0.0047; NH ASIAN:0.0268; NH BLACK:0.0599; NH MULTI:0.0069; NH NH/PI:0.0041; NH WHITE:0.3505; OTHER:0.0089; UNKNOWN:0.1756","0-9:511; 10-19:1043; 20-29:3779; 30-39:4166; 40-49:4173; 50-59:3905; 60-69:2829; 70-79:1788; 80+:1924; UNKNOWN:56","FEMALE:0.5058; MALE:0.4811; UNKNOWN/OTHER:0.0131","1055","HISPANIC:0.1929; NH AI/AN:0.006; NH ASIAN:0.039; NH BLACK:0.0691; NH MULTI:0.0075; NH NH/PI:0.003; NH WHITE:0.6389; OTHER:0.0053; UNKNOWN:0.0383","10-19:2; 20-29:8; 30-39:8; 40-49:33; 50-59:71; 60-69:171; 70-79:311; 80+:728","FEMALE:0.4377; MALE:0.5593; UNKNOWN/OTHER:0.003",NA,NA,NA,"0-9:36; 10-19:34; 20-29:181; 30-39:336; 40-49:506; 50-59:727; 60-69:732; 70-79:531; 80+:365",NA,"tableau",NA,"05/24/20"
"Connecticut","214136","40468",5769,446,18,"HISPANIC:7185; NH AI/AN:39; NH ASIAN/PI:589; NH BLACK:5156; NH MULTI:80; NH OTHER:215; NH WHITE:13557; UNKNOWN:13647","0-9:446; 10-19:992; 20-29:4532; 30-39:5636; 40-49:5723; 50-59:7027; 60-69:5916; 70-79:3961; 80+:6100","FEMALE:22099; MALE:18145","3693","HISPANIC:324; NH AI/AN:1; NH ASIAN/PI:36; NH BLACK:542; NH MULTI:16; NH OTHER:13; NH WHITE:2689; UNKNOWN:72","0-9:1; 10-19:1; 20-29:4; 30-39:19; 40-49:51; 50-59:155; 60-69:461; 70-79:800; 80+:2200","FEMALE:1863; MALE:1821",NA,NA,NA,NA,NA,NA,"No race dataset https://data.ct.gov/Health-and-Human-Services/COVID-19-Daily-DPH-Reports-Library/bqve-e8um; curr_hosp:701","05/23/20"
"Delaware","51870; race_Non-Hispanic White:4; race_Non-Hispanic Black:2; race_Hispanic/Latino:5; race_Another/Multiple:3; race_Asian/Pacific Islander:6; race_Unknown:1","8809",NA,NA,NA,"ASIAN/PI:127; HISPANIC:2431; MULTI:449; NH BLACK:2337; NH WHITE:2523; UNKNOWN:942","0-4:104; 5-17:410; 18-34:2310; 35-49:2273; 50-64:2047; 65+:1665","FEMALE:4831; MALE:3934; UNKNOWN/OTHER:44","326","ASIAN/PI:1; HISPANIC:24; MULTI:4; NH BLACK:79; NH WHITE:198; UNKNOWN:20","0-4:0; 5-17:0; 18-34:9; 35-49:9; 50-64:50; 65+:258","FEMALE:169; MALE:157",NA,"211",NA,NA,NA,NA,"Recovered:3","05/24/20"
"District of Columbia","51991","7966; eth_hispanic:2017; eth_non_hispanic:4496; eth_unk:1453",NA,NA,NA,"AI/AN:22; ASIAN:102; BLACK:3729; HISPANIC:0; MULTI:1909; NH/PI:18; UNKNOWN:45; WHITE:1237",NA,NA,"427","AI/AN:0; ASIAN:7; BLACK:323; HISPANIC:46; MULTI:0; NH/PI:0; UNKNOWN:4; WHITE:47",NA,NA,NA,NA,NA,NA,NA,"xlsx","Deaths are combined between race and ethnicity","05/23/20"
"Florida","858112","48814; eth_hispanic:17171; eth_non_hispanic:23786; eth_unk:7857",NA,NA,NA,"AI/AN:0; ASIAN:0; BLACK:10196; MULTI:0; OTHER:4631; UNKNOWN:6778; WHITE:27209","0-4:364; 5-14:758; 15-24:3933; 25-34:7352; 35-44:7362; 45-54:8476; 55-64:8029; 65-74:5784; 75-84:3980; 85+:2767; UNKNOWN:9","FEMALE:24810; MALE:24004; UNKNOWN/OTHER:0","2233; eth_hispanic:488; eth_non_hispanic:1575; eth_unk:170","AI/AN:0; ASIAN:0; BLACK:488; MULTI:0; OTHER:136; UNKNOWN:84; WHITE:1525","0-4:0; 5-14:0; 15-24:0; 25-34:13; 35-44:36; 45-54:86; 55-64:207; 65-74:476; 75-84:658; 85+:757; UNKNOWN:0",NA,NA,"NA; eth_hispanic:2990; eth_non_hispanic:5847; eth_unk:473","AI/AN:0; ASIAN:0; BLACK:2453; MULTI:0; OTHER:904; UNKNOWN:284; WHITE:5669","0-4:26; 5-14:22; 15-24:148; 25-34:464; 35-44:749; 45-54:1181; 55-64:1632; 65-74:1940; 75-84:1806; 85+:1341; UNKNOWN:1",NA,"pdf","Age data only available in images on site","05/23/20"
